浙江电信-组播1,#genre#
北京卫视,http://dous.cc:4023/udp/233.50.200.179:5140$1080p
北京卫视,http://dous.cc:4023/udp/233.50.200.68:5140$576p
北京卫视,http://dous.cc:4023/udp/233.50.201.107:5140
北京卫视,http://dous.cc:4023/udp/233.50.201.40:5140
吉林卫视,http://dous.cc:4023/udp/233.50.200.164:5140$1080p
吉林卫视,http://dous.cc:4023/udp/233.50.200.77:5140$576p
吉林卫视,http://dous.cc:4023/udp/233.50.201.48:5140
吉林卫视,http://dous.cc:4023/udp/233.50.202.42:5140
四川卫视,http://dous.cc:4023/udp/233.50.200.118:5140$1080p
四川卫视,http://dous.cc:4023/udp/233.50.200.70:5140$576p
四川卫视,http://dous.cc:4023/udp/233.50.201.139:5140
四川卫视,http://dous.cc:4023/udp/233.50.201.61:5140
天津卫视,http://dous.cc:4023/udp/233.50.200.104:5140$1080p
天津卫视,http://dous.cc:4023/udp/233.50.200.98:5140$576p
天津卫视,http://dous.cc:4023/udp/233.50.201.104:5140
天津卫视,http://dous.cc:4023/udp/233.50.201.47:5140
宁夏卫视,http://dous.cc:4023/udp/233.50.200.215:5140$576p
宁夏卫视,http://dous.cc:4023/udp/233.50.201.57:5140
宁夏卫视,http://dous.cc:4023/udp/233.50.202.45:5140
山东卫视,http://dous.cc:4023/udp/233.50.200.127:5140$1080p
山东卫视,http://dous.cc:4023/udp/233.50.200.65:5140$576p
山东卫视,http://dous.cc:4023/udp/233.50.201.105:5140
山东卫视,http://dous.cc:4023/udp/233.50.201.64:5140
山西卫视,http://dous.cc:4023/udp/233.50.200.172:5140$576p
山西卫视,http://dous.cc:4023/udp/233.50.201.51:5140
广东卫视,http://dous.cc:4023/udp/233.50.200.126:5140$1080p
广东卫视,http://dous.cc:4023/udp/233.50.200.149:5140
广东卫视,http://dous.cc:4023/udp/233.50.200.187:5140
广东卫视,http://dous.cc:4023/udp/233.50.200.61:5140$576p
广东卫视,http://dous.cc:4023/udp/233.50.201.102:5140
广东卫视,http://dous.cc:4023/udp/233.50.201.56:5140
广西卫视,http://dous.cc:4023/udp/233.50.200.136:5140$1080p
广西卫视,http://dous.cc:4023/udp/233.50.200.41:5140$576p
广西卫视,http://dous.cc:4023/udp/233.50.201.49:5140
新疆卫视,http://dous.cc:4023/udp/233.50.202.46:5140
江苏卫视,http://dous.cc:4023/udp/233.50.200.144:5140$1080p
江苏卫视,http://dous.cc:4023/udp/233.50.200.66:5140$576p
江苏卫视,http://dous.cc:4023/udp/233.50.201.106:5140
江苏卫视,http://dous.cc:4023/udp/233.50.201.41:5140
江西卫视,http://dous.cc:4023/udp/233.50.200.119:5140$1080p
江西卫视,http://dous.cc:4023/udp/233.50.200.80:5140$576p
江西卫视,http://dous.cc:4023/udp/233.50.201.145:5140
江西卫视,http://dous.cc:4023/udp/233.50.201.53:5140
安徽卫视,http://dous.cc:4023/udp/233.50.200.106:5140$1080p
安徽卫视,http://dous.cc:4023/udp/233.50.200.71:5140$576p
安徽卫视,http://dous.cc:4023/udp/233.50.201.113:5140
安徽卫视,http://dous.cc:4023/udp/233.50.201.62:5140
河北卫视,http://dous.cc:4023/udp/233.50.200.105:5140$1080p
河北卫视,http://dous.cc:4023/udp/233.50.200.82:5140$576p
河北卫视,http://dous.cc:4023/udp/233.50.201.140:5140
河北卫视,http://dous.cc:4023/udp/233.50.201.50:5140
河南卫视,http://dous.cc:4023/udp/233.50.200.142:5140$1080p
河南卫视,http://dous.cc:4023/udp/233.50.200.83:5140$576p
河南卫视,http://dous.cc:4023/udp/233.50.201.144:5140
河南卫视,http://dous.cc:4023/udp/233.50.201.44:5140
海南卫视,http://dous.cc:4023/udp/233.50.200.165:5140$1080p
海南卫视,http://dous.cc:4023/udp/233.50.200.62:5140$576p
海南卫视,http://dous.cc:4023/udp/233.50.201.55:5140
深圳卫视,http://dous.cc:4023/udp/233.50.200.188:5140$1080p
深圳卫视,http://dous.cc:4023/udp/233.50.201.101:5140
深圳卫视,http://dous.cc:4023/udp/233.50.201.45:5140
湖北卫视,http://dous.cc:4023/udp/233.50.200.147:5140$1080p
湖北卫视,http://dous.cc:4023/udp/233.50.200.95:5140$576p
湖北卫视,http://dous.cc:4023/udp/233.50.201.114:5140
湖北卫视,http://dous.cc:4023/udp/233.50.201.43:5140
湖南卫视,http://dous.cc:4023/udp/233.50.200.190:5140$1080p
湖南卫视,http://dous.cc:4023/udp/233.50.200.69:5140$576p
湖南卫视,http://dous.cc:4023/udp/233.50.201.103:5140
湖南卫视,http://dous.cc:4023/udp/233.50.201.52:5140
西藏卫视,http://dous.cc:4023/udp/233.50.200.137:5140$576p
西藏卫视,http://dous.cc:4023/udp/233.50.201.70:5140
西藏卫视,http://dous.cc:4023/udp/233.50.202.43:5140
贵州卫视,http://dous.cc:4023/udp/233.50.200.128:5140$576p
贵州卫视,http://dous.cc:4023/udp/233.50.200.139:5140$1080p
贵州卫视,http://dous.cc:4023/udp/233.50.201.142:5140
贵州卫视,http://dous.cc:4023/udp/233.50.201.69:5140
辽宁卫视,http://dous.cc:4023/udp/233.50.200.129:5140$1080p
辽宁卫视,http://dous.cc:4023/udp/233.50.200.173:5140
辽宁卫视,http://dous.cc:4023/udp/233.50.200.85:5140$576p
