江苏电信-组播1,#genre#
贾汪新闻,http://121.237.245.25:8888/rtp/239.49.0.248:8000
沛县新闻综合,http://121.237.245.25:8888/rtp/239.49.0.214:8000
邳州综合,http://121.237.245.25:8888/rtp/239.49.0.182:8000
睢宁综合,http://121.237.245.25:8888/rtp/239.49.0.239:8000
铜山1套,http://121.237.245.25:8888/rtp/239.49.0.163:8000
盐城新闻综合,http://121.237.245.25:8888/rtp/239.49.8.30:8000$1080p
盐城教育民生,http://121.237.245.25:8888/rtp/239.49.0.88:8000
射阳新闻综合,http://121.237.245.25:8888/rtp/239.49.0.158:8000
响水综合,http://121.237.245.25:8888/rtp/239.49.0.115:8912
泰州新闻综合,http://121.237.245.25:8888/rtp/239.49.0.215:8000
泰州经济生活,http://121.237.245.25:8888/rtp/239.49.0.217:8000
泰州影视娱乐,http://121.237.245.25:8888/rtp/239.49.0.222:8000
泰兴综合,http://121.237.245.25:8888/rtp/239.49.0.168:8000
兴化新闻综合,http://121.237.245.25:8888/rtp/239.49.0.162:8000
快乐垂钓,http://121.237.245.25:8888/rtp/239.49.0.114:8000
四海钓鱼,http://121.237.245.25:8888/rtp/239.49.1.80:8000$1080p
天元围棋,http://121.237.245.25:8888/rtp/239.49.1.79:8000$1080p
好享购物,http://121.237.245.25:8888/rtp/239.49.8.121:8000$1080p
家有购物,http://121.237.245.25:8888/rtp/239.49.8.124:8000$576p
梨园频道,http://121.237.245.25:8888/rtp/239.49.8.193:8000$1080p
欢笑剧场,http://121.237.245.25:8888/rtp/239.49.8.106:8000$2160p
睛彩广场舞,http://121.237.245.25:8888/rtp/239.49.8.64:8000$1080p
睛彩竞技,http://121.237.245.25:8888/rtp/239.49.8.39:8000$1080p
睛彩篮球,http://121.237.245.25:8888/rtp/239.49.8.42:8000$1080p
睛彩青少,http://121.237.245.25:8888/rtp/239.49.8.46:8000$1080p
第一财经,http://121.237.245.25:8888/rtp/239.49.8.37:8000$1080p
聚鲨环球精选,http://121.237.245.25:8888/rtp/239.49.8.123:8000$576p
金鹰卡通,http://121.237.245.25:8888/rtp/239.49.8.33:8000$1080p
金鹰纪实,http://121.237.245.25:8888/rtp/239.49.8.79:8000$1080p

广播,http://121.237.245.25:8888/rtp/239.49.8.100:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.101:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.102:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.103:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.104:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.105:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.125:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.127:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.73:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.81:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.82:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.96:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.97:8000
广播,http://121.237.245.25:8888/rtp/239.49.8.99:8000
江苏电信-组播2,#genre#
CCTV-1 综合,http://121.237.245.243:8888/rtp/239.49.8.129:6000$1080p
CCTV-1 综合,http://121.237.245.243:8888/rtp/239.49.8.19:9614 
CCTV-1 综合,http://121.237.245.243:8888/rtp/239.49.1.1:6000$576p
CCTV-2 财经,http://121.237.245.243:8888/rtp/239.49.8.130:6000$1080p
CCTV-2 财经,http://121.237.245.243:8888/rtp/239.49.8.50:9802
CCTV-2 财经,http://121.237.245.243:8888/rtp/239.49.1.2:6000$576p
CCTV-3 综艺,http://121.237.245.243:8888/rtp/239.49.8.74:8000$1080p
CCTV-3 综艺,http://121.237.245.243:8888/rtp/239.49.1.3:6000$576p
CCTV-4 中文国际,http://121.237.245.243:8888/rtp/239.49.8.131:6000$1080p
CCTV-4 中文国际,http://121.237.245.243:8888/rtp/239.49.1.4:6000$576p
CCTV-5 体育,http://121.237.245.243:8888/rtp/239.49.8.75:8000$1080p
CCTV-5 体育,http://121.237.245.243:8888/rtp/239.49.1.5:6000$576p
CCTV-5+ 体育赛事,http://121.237.245.243:8888/rtp/239.49.8.18:9610 
CCTV-6 电影,http://121.237.245.243:8888/rtp/239.49.8.76:8000$1080p
CCTV-6 电影,http://121.237.245.243:8888/rtp/239.49.1.6:6000$576p
CCTV-7 国防军事,http://121.237.245.243:8888/rtp/239.49.1.254:6000$576p
CCTV-7 国防军事,http://121.237.245.243:8888/rtp/239.49.8.126:8000$576p
CCTV-8 电视剧,http://121.237.245.243:8888/rtp/239.49.8.77:8000$1080p
CCTV-8 电视剧,http://121.237.245.243:8888/rtp/239.49.1.8:6000$576p
CCTV-9 纪录,http://121.237.245.243:8888/rtp/239.49.8.53:9814 
CCTV-10 科教,http://121.237.245.243:8888/rtp/239.49.8.134:6000$1080p
CCTV-10 科教,http://121.237.245.243:8888/rtp/239.49.8.54:9818 
CCTV-10 科教,http://121.237.245.243:8888/rtp/239.49.1.10:6000$576p
CCTV-11 戏曲,http://121.237.245.243:8888/rtp/239.49.1.11:6000$576p
CCTV-12 社会与法,http://121.237.245.243:8888/rtp/239.49.8.135:6000$1080p
CCTV-12 社会与法,http://121.237.245.243:8888/rtp/239.49.8.55:9822 
CCTV-12 社会与法,http://121.237.245.243:8888/rtp/239.49.1.12:6000$576p
CCTV-13 新闻,http://121.237.245.243:8888/rtp/239.49.8.109:8000$1080p
CCTV-13 新闻,http://121.237.245.243:8888/rtp/239.49.8.98:8000$1080p
CCTV-13 新闻,http://121.237.245.243:8888/rtp/239.49.1.13:6000$576p
CCTV-14 少儿,http://121.237.245.243:8888/rtp/239.49.8.136:6000$1080p
CCTV-14 少儿,http://121.237.245.243:8888/rtp/239.49.8.56:9826 
CCTV-14 少儿,http://121.237.245.243:8888/rtp/239.49.1.14:6000$576p
CCTV-15 音乐,http://121.237.245.243:8888/rtp/239.49.1.15:6000$576p
CCTV-16 奥林匹克,http://121.237.245.243:8888/rtp/239.49.8.31:8000$1080p
CCTV-17 农业农村,http://121.237.245.243:8888/rtp/239.49.8.132:6000$1080p
CCTV-17 农业农村,http://121.237.245.243:8888/rtp/239.49.1.7:6000$576p
CCTV-17 农业农村,http://121.237.245.243:8888/rtp/239.49.8.52:9810 
中央新影-中学生,http://121.237.245.243:8888/rtp/239.49.1.82:8000$576p
CETV1,http://121.237.245.243:8888/rtp/239.49.8.115:8000$1080p
CGTN,http://121.237.245.243:8888/rtp/239.49.0.9:8064 
CGTN,http://121.237.245.243:8888/rtp/239.49.1.9:6000$576p
CGTN法语,http://121.237.245.243:8888/rtp/239.49.1.31:8000$1080p
CGTN西语,http://121.237.245.243:8888/rtp/239.49.1.30:8000$1080p
广东卫视4K,http://121.237.245.243:8888/rtp/239.49.1.24:8000$2160p
广东卫视4K,http://121.237.245.243:8888/rtp/239.49.1.26:8000$2160p
深圳卫视4K,http://121.237.245.243:8888/rtp/239.49.1.27:8000$2160p
深圳卫视4K,http://121.237.245.243:8888/rtp/239.49.1.28:8000$2160p
江苏卫视4K,http://121.237.245.243:8888/rtp/239.49.1.61:8000$2160p
江苏卫视4K,http://121.237.245.243:8888/rtp/239.49.1.62:8000$2160p
浙江卫视4K,http://121.237.245.243:8888/rtp/239.49.1.63:8000$2160p
浙江卫视4K,http://121.237.245.243:8888/rtp/239.49.1.64:8000$2160p
四川卫视4K,http://121.237.245.243:8888/rtp/239.49.1.65:8000$2160p
四川卫视4K,http://121.237.245.243:8888/rtp/239.49.1.66:8000$2160p
湖南卫视4K,http://121.237.245.243:8888/rtp/239.49.1.67:8000$2160p
湖南卫视4K,http://121.237.245.243:8888/rtp/239.49.1.68:8000$2160p
东方卫视4K,http://121.237.245.243:8888/rtp/239.49.1.69:8000$2160p
东方卫视4K,http://121.237.245.243:8888/rtp/239.49.1.70:8000$2160p
山东卫视4K,http://121.237.245.243:8888/rtp/239.49.1.71:8000$2160p
山东卫视4K,http://121.237.245.243:8888/rtp/239.49.1.72:8000$2160p
东方卫视4K,http://121.237.245.243:8888/rtp/239.49.8.38:8000$2160p
东南卫视,http://121.237.245.243:8888/rtp/239.49.8.112:8000$1080p
东南卫视,http://121.237.245.243:8888/rtp/239.49.1.45:6000$576p
东方卫视,http://121.237.245.243:8888/rtp/239.49.8.140:6000$1080p
东方卫视,http://121.237.245.243:8888/rtp/239.49.1.32:6000$576p
云南卫视,http://121.237.245.243:8888/rtp/239.49.1.235:6000$576p
内蒙古卫视,http://121.237.245.243:8888/rtp/239.49.1.75:8000$1080p
北京卫视,http://121.237.245.243:8888/rtp/239.49.8.141:6000$1080p
北京卫视,http://121.237.245.243:8888/rtp/239.49.1.33:6000$576p
吉林卫视,http://121.237.245.243:8888/rtp/239.49.8.113:8000$1080p
吉林卫视,http://121.237.245.243:8888/rtp/239.49.1.49:6000$576p
四川卫视,http://121.237.245.243:8888/rtp/239.49.8.110:8000$1080p
四川卫视,http://121.237.245.243:8888/rtp/239.49.1.43:6000$576p
天津卫视,http://121.237.245.243:8888/rtp/239.49.8.148:6000$1080p
天津卫视,http://121.237.245.243:8888/rtp/239.49.1.46:6000$576p
宁夏卫视,http://121.237.245.243:8888/rtp/239.49.1.60:8000$1080p
安徽卫视,http://121.237.245.243:8888/rtp/239.49.8.204:6000$1080p
安徽卫视,http://121.237.245.243:8888/rtp/239.49.8.80:8000$1080p
安徽卫视,http://121.237.245.243:8888/rtp/239.49.1.36:6000$576p
山东卫视,http://121.237.245.243:8888/rtp/239.49.8.146:6000$1080p
山东卫视,http://121.237.245.243:8888/rtp/239.49.1.37:6000$576p
山西卫视,http://121.237.245.243:8888/rtp/239.49.1.51:6000$576p
广东卫视,http://121.237.245.243:8888/rtp/239.49.8.143:6000$1080p
广东卫视,http://121.237.245.243:8888/rtp/239.49.1.39:6000$576p
广西卫视,http://121.237.245.243:8888/rtp/239.49.8.10:8000$1080p
广西卫视,http://121.237.245.243:8888/rtp/239.49.1.40:6000$576p
江西卫视,http://121.237.245.243:8888/rtp/239.49.8.111:8000$1080p
江西卫视,http://121.237.245.243:8888/rtp/239.49.8.185:6000$1080p
江西卫视,http://121.237.245.243:8888/rtp/239.49.1.47:6000$576p
河北卫视,http://121.237.245.243:8888/rtp/239.49.8.114:8000$1080p
河北卫视,http://121.237.245.243:8888/rtp/239.49.8.188:6000$1080p
河南卫视,http://121.237.245.243:8888/rtp/239.49.8.29:8000$1080p
河南卫视,http://121.237.245.243:8888/rtp/239.49.1.44:6000$576p
浙江卫视,http://121.237.245.243:8888/rtp/239.49.8.139:6000$1080p
浙江卫视,http://121.237.245.243:8888/rtp/239.49.1.34:6000$576p
海南卫视,http://121.237.245.243:8888/rtp/239.49.8.83:8000$1080p
海南卫视,http://121.237.245.243:8888/rtp/239.49.1.41:6000$576p
深圳卫视,http://121.237.245.243:8888/rtp/239.49.8.145:6000$1080p
深圳卫视,http://121.237.245.243:8888/rtp/239.49.1.59:6000$576p
湖北卫视,http://121.237.245.243:8888/rtp/239.49.8.147:6000$1080p
湖北卫视,http://121.237.245.243:8888/rtp/239.49.1.48:6000$576p
湖南卫视,http://121.237.245.243:8888/rtp/239.49.8.142:6000$1080p
湖南卫视,http://121.237.245.243:8888/rtp/239.49.1.38:6000$576p
贵州卫视,http://121.237.245.243:8888/rtp/239.49.8.49:8000$1080p
贵州卫视,http://121.237.245.243:8888/rtp/239.49.1.52:6000$576p
辽宁卫视,http://121.237.245.243:8888/rtp/239.49.8.48:8000$1080p
辽宁卫视,http://121.237.245.243:8888/rtp/239.49.1.35:6000$576p
重庆卫视,http://121.237.245.243:8888/rtp/239.49.8.149:6000$1080p
重庆卫视,http://121.237.245.243:8888/rtp/239.49.1.42:6000$576p
陕西卫视,http://121.237.245.243:8888/rtp/239.49.1.74:8000$1080p
山西卫视,http://121.237.245.243:8888/rtp/239.49.1.55:8000$1080p
西藏卫视,http://121.237.245.243:8888/rtp/239.49.1.56:8000$1080p
新疆卫视,http://121.237.245.243:8888/rtp/239.49.1.57:8000$1080p
兵团卫视,http://121.237.245.243:8888/rtp/239.49.1.58:8000$1080p
青海卫视,http://121.237.245.243:8888/rtp/239.49.1.53:6000$576p
黑龙江卫视,http://121.237.245.243:8888/rtp/239.49.8.144:6000$1080p
黑龙江卫视,http://121.237.245.243:8888/rtp/239.49.1.50:6000$576p
江苏卫视,http://121.237.245.243:8888/rtp/239.49.8.138:6000$1080p
江苏卫视,http://121.237.245.243:8888/rtp/239.49.1.16:6000$576p
江苏体育休闲,http://121.237.245.243:8888/rtp/239.49.8.117:8000$1080p
江苏体育休闲,http://121.237.245.243:8888/rtp/239.49.1.19:6000$576p
江苏国际,http://121.237.245.243:8888/rtp/239.49.1.81:8000$1080p
江苏国际,http://121.237.245.243:8888/rtp/239.49.1.23:6000$576p
江苏城市,http://121.237.245.243:8888/rtp/239.49.8.107:8000$1080p
江苏城市,http://121.237.245.243:8888/rtp/239.49.1.17:6000$576p
江苏影视,http://121.237.245.243:8888/rtp/239.49.8.118:8000$1080p
江苏影视,http://121.237.245.243:8888/rtp/239.49.1.20:6000$576p
江苏教育,http://121.237.245.243:8888/rtp/239.49.8.122:8000$1080p
江苏教育,http://121.237.245.243:8888/rtp/239.49.1.25:6000$576p
江苏新闻,http://121.237.245.243:8888/rtp/239.49.8.120:8000$1080p
江苏新闻,http://121.237.245.243:8888/rtp/239.49.1.22:6000$576p
江苏综艺,http://121.237.245.243:8888/rtp/239.49.8.108:8000$1080p
江苏综艺,http://121.237.245.243:8888/rtp/239.49.1.18:6000$576p
优漫卡通,http://121.237.245.243:8888/rtp/239.49.8.119:8000$1080p
优漫卡通,http://121.237.245.243:8888/rtp/239.49.1.21:6000$576p
财富天下,http://121.237.245.243:8888/rtp/239.49.1.76:8000$1080p
财富天下,http://121.237.245.243:8888/rtp/239.49.1.29:6000$576p
南京新闻综合,http://121.237.245.243:8888/rtp/239.49.0.25:8192 
南京教科,http://121.237.245.243:8888/rtp/239.49.0.183:9434 
南京十八生活,http://121.237.245.243:8888/rtp/239.49.0.26:8200
南京文旅纪录,http://121.237.245.243:8888/rtp/239.49.0.38:8000
高淳新闻,http://121.237.245.243:8888/rtp/239.49.0.74:8000
无锡新闻综合,http://121.237.245.243:8888/rtp/239.49.1.77:8000$1080p
无锡都市资讯,http://121.237.245.243:8888/rtp/239.49.1.78:8000$1080p
