河北联通-组播1,#genre#
滦州综合,http://60.4.29.46:8077/rtp/239.253.92.97:6138
滦平综合,http://60.4.29.46:8077/rtp/239.253.92.100:6142
玉田综合,http://60.4.29.46:8077/rtp/239.253.92.118:6133
盐山综合,http://60.4.29.46:8077/rtp/239.253.93.144:6312
石家庄城市服务,http://60.4.29.46:8077/rtp/239.253.92.94:8121
石家庄文化娱乐,http://60.4.29.46:8077/rtp/239.253.92.93:8120
石家庄新闻综合,http://60.4.29.46:8077/rtp/239.253.92.149:6035
秦皇岛民生,http://60.4.29.46:8077/rtp/239.253.92.53:6022
秦皇岛新闻综合,http://60.4.29.46:8077/rtp/239.253.92.52:6021
肃宁综合,http://60.4.29.46:8077/rtp/239.253.93.152:6320
衡水公共,http://60.4.29.46:8077/rtp/239.253.93.7:6160
衡水新闻综合,http://60.4.29.46:8077/rtp/239.253.93.3:6154
赞皇综合,http://60.4.29.46:8077/rtp/239.253.92.12:6042
赵县1套,http://60.4.29.46:8077/rtp/239.253.93.140:6308
迁安综合,http://60.4.29.46:8077/rtp/239.253.93.113:6280
迁西综合,http://60.4.29.46:8077/rtp/239.253.92.247:6091
遵化综合,http://60.4.29.46:8077/rtp/239.253.93.177:6345
邢台城市生活,http://60.4.29.46:8077/rtp/239.253.93.10:6163
邢台综合,http://60.4.29.46:8077/rtp/239.253.93.8:6161
邯山综合,http://60.4.29.46:8077/rtp/239.253.93.146:6314
邯郸公共,http://60.4.29.46:8077/rtp/239.253.93.12:6165
邯郸新闻综合,http://60.4.29.46:8077/rtp/239.253.93.11:6164
邯郸科技教育,http://60.4.29.46:8077/rtp/239.253.93.13:6166
邱县综合,http://60.4.29.46:8077/rtp/239.253.93.158:6326
阜城综合,http://60.4.29.46:8077/rtp/239.253.93.168:6336
阜平综合,http://60.4.29.46:8077/rtp/239.253.93.16:6169
隆化综合,http://60.4.29.46:8077/rtp/239.253.93.174:6342
隆尧综合,http://60.4.29.46:8077/rtp/239.253.93.65:6230
霸州新闻,http://60.4.29.46:8077/rtp/239.253.93.209:6387
青县综合,http://60.4.29.46:8077/rtp/239.253.93.139:6307
顺平综合,http://60.4.29.46:8077/rtp/239.253.93.148:6316
饶阳综合,http://60.4.29.46:8077/rtp/239.253.93.40:6193
馆陶综合,http://60.4.29.46:8077/rtp/239.253.93.115:6282
香河综合,http://60.4.29.46:8077/rtp/239.253.92.185:6049
高碑店综合,http://60.4.29.46:8077/rtp/239.253.93.23:6176
高邑融媒,http://60.4.29.46:8077/rtp/239.253.92.160:6041
魏县综合,http://60.4.29.46:8077/rtp/239.253.93.185:6353
鸡泽综合,http://60.4.29.46:8077/rtp/239.253.93.64:6219
黄骅综合,http://60.4.29.46:8077/rtp/239.253.92.183:6047
文安综合,http://60.4.29.46:8077/rtp/239.253.93.111:6278
东方财经,http://60.4.29.46:8077/rtp/239.253.93.239:6417
乐游,http://60.4.29.46:8077/rtp/239.253.94.48:6577
动漫秀场,http://60.4.29.46:8077/rtp/239.253.94.50:6579
生活时尚,http://60.4.29.46:8077/rtp/239.253.94.49:6578
都市剧场,http://60.4.29.46:8077/rtp/239.253.94.46:6575
东方财经,http://60.4.29.46:8077/rtp/239.253.94.47:6576
金色学堂,http://60.4.29.46:8077/rtp/239.253.94.52:6581
法治天地,http://60.4.29.46:8077/rtp/239.253.94.53:6582
书画,http://60.4.29.46:8077/rtp/239.253.93.214:6392
优漫卡通,http://60.4.29.46:8077/rtp/239.253.93.204:6382
党教,http://60.4.29.46:8077/rtp/239.253.92.125:6024
嘉佳卡通,http://60.4.29.46:8077/rtp/239.253.93.203:6381
四海钓鱼,http://60.4.29.46:8077/rtp/239.253.93.243:6421
天元围棋,http://60.4.29.46:8077/rtp/239.253.93.211:6389
山东教育,http://60.4.29.46:8077/rtp/239.253.92.106:6135
快乐垂钓,http://60.4.29.46:8077/rtp/239.253.93.213:6391
文物宝库,http://60.4.29.46:8077/rtp/239.253.93.180:6437
国学频道,http://60.4.29.46:8077/rtp/239.253.92.158:8071
梨园频道,http://60.4.29.46:8077/rtp/239.253.93.133:6441
武术世界,http://60.4.29.46:8077/rtp/239.253.93.46:6434
环球奇观,http://60.4.29.46:8077/rtp/239.253.92.130:8069
羽毛球专区,http://60.4.29.46:8077/rtp/239.253.93.202:6380
重庆汽摩,http://60.4.29.46:8077/rtp/239.253.92.46:6110
金鹰卡通,http://60.4.29.46:8077/rtp/239.253.92.163:8055
金鹰纪实,http://60.4.29.46:8077/rtp/239.253.92.103:6054
北京卫视4K,http://60.4.29.46:8077/rtp/239.253.92.116:6029
CCTV-3 综艺,http://60.4.29.46:8077/rtp/239.253.92.21:6226
CCTV4K,http://60.4.29.46:8077/rtp/239.253.92.219:6228
湖南卫视4K,http://60.4.29.46:8077/rtp/239.253.92.220:6229
河北文旅体育,http://60.4.29.46:8077/rtp/239.253.94.1:6600
九屏直播,http://60.4.29.46:8077/rtp/239.253.92.203:6150
慢直播2,http://60.4.29.46:8077/rtp/239.253.94.2:6601
慢直播3,http://60.4.29.46:8077/rtp/239.253.94.3:6602
慢直播4,http://60.4.29.46:8077/rtp/239.253.94.4:6603
慢直播5,http://60.4.29.46:8077/rtp/239.253.94.5:6604
慢直播6,http://60.4.29.46:8077/rtp/239.253.94.6:6605
慢直播7,http://60.4.29.46:8077/rtp/239.253.94.7:6606
