重庆联通-组播1,#genre#
广东卫视,http://58.17.134.3:8002/rtp/225.0.4.84:7980$1080p
广西卫视,http://58.17.134.3:8002/rtp/225.0.4.34:7980$576p
新疆卫视,http://58.17.134.3:8002/rtp/225.0.4.43:7980$576p
新疆卫视,http://58.17.134.3:8002/rtp/225.0.4.60:7980
江苏卫视,http://58.17.134.3:8002/rtp/225.0.4.15:7980$576p
江苏卫视,http://58.17.134.3:8002/rtp/225.0.4.79:7980$1080p
江西卫视,http://58.17.134.3:8002/rtp/225.0.4.203:7980$1080p
江西卫视,http://58.17.134.3:8002/rtp/225.0.4.25:7980$576p
河北卫视,http://58.17.134.3:8002/rtp/225.0.4.174:7980$1080p
河北卫视,http://58.17.134.3:8002/rtp/225.0.4.32:7980$576p
河南卫视,http://58.17.134.3:8002/rtp/225.0.4.124:7980$1080p
河南卫视,http://58.17.134.3:8002/rtp/225.0.4.22:7980$576p
浙江卫视,http://58.17.134.3:8002/rtp/225.0.4.14:7980$576p
浙江卫视,http://58.17.134.3:8002/rtp/225.0.4.81:7980$1080p
海南卫视,http://58.17.134.3:8002/rtp/225.0.4.40:7980$576p
深圳卫视,http://58.17.134.3:8002/rtp/225.0.4.202:7980
深圳卫视,http://58.17.134.3:8002/rtp/225.0.4.27:7980$576p
湖北卫视,http://58.17.134.3:8002/rtp/225.0.4.28:7980$576p
湖南卫视,http://58.17.134.3:8002/rtp/225.0.4.13:7980$576p
湖南卫视,http://58.17.134.3:8002/rtp/225.0.4.75:7980$1080p
甘肃卫视,http://58.17.134.3:8002/rtp/225.0.4.181:7980$1080p
甘肃卫视,http://58.17.134.3:8002/rtp/225.0.4.44:7980$576p
西藏卫视,http://58.17.134.3:8002/rtp/225.0.4.42:7980$576p
西藏卫视,http://58.17.134.3:8002/rtp/225.0.4.67:7980
贵州卫视,http://58.17.134.3:8002/rtp/225.0.4.175:7980$1080p
贵州卫视,http://58.17.134.3:8002/rtp/225.0.4.26:7980$576p
辽宁卫视,http://58.17.134.3:8002/rtp/225.0.4.19:7980$576p
辽宁卫视,http://58.17.134.3:8002/rtp/225.0.4.98:7980
陕西卫视,http://58.17.134.3:8002/rtp/225.0.4.244:7980$1080p
陕西卫视,http://58.17.134.3:8002/rtp/225.0.4.36:7980$576p
青海卫视,http://58.17.134.3:8002/rtp/225.0.4.39:7980$576p
黑龙江卫视,http://58.17.134.3:8002/rtp/225.0.4.201:7980$1080p
黑龙江卫视,http://58.17.134.3:8002/rtp/225.0.4.23:7980$576p
乐游,http://58.17.134.3:8002/rtp/225.0.4.242:7980$1080p
动漫秀场,http://58.17.134.3:8002/rtp/225.0.4.236:7980$1080p
游戏风云,http://58.17.134.3:8002/rtp/225.0.4.237:7980$1080p
生活时尚,http://58.17.134.3:8002/rtp/225.0.4.241:7980$1080p
都市剧场,http://58.17.134.3:8002/rtp/225.0.4.235:7980$1080p
金色学堂,http://58.17.134.3:8002/rtp/225.0.4.239:7980$1080p
嘉佳卡通,http://58.17.134.3:8002/rtp/225.0.4.221:7980
快乐垂钓,http://58.17.134.3:8002/rtp/225.0.4.213:7980
求索纪录,http://58.17.134.3:8002/rtp/225.0.4.232:7980$1080p
法治天地,http://58.17.134.3:8002/rtp/225.0.4.240:7980$1080p
电影,http://58.17.134.3:8002/rtp/225.0.4.166:7980$1080p
精彩影视,http://58.17.134.3:8002/rtp/225.0.4.231:7980$1080p
金鹰卡通,http://58.17.134.3:8002/rtp/225.0.4.46:7980$576p
华数,http://58.17.134.3:8002/rtp/225.0.4.47:7980$1080p
华数1,http://58.17.134.3:8002/rtp/225.0.4.48:7980$1080p
华数2,http://58.17.134.3:8002/rtp/225.0.4.49:7980$1080p
华数3,http://58.17.134.3:8002/rtp/225.0.4.50:7980$1080p
华数4,http://58.17.134.3:8002/rtp/225.0.4.52:7980$1080p
华数5,http://58.17.134.3:8002/rtp/225.0.4.53:7980
华数6,http://58.17.134.3:8002/rtp/225.0.4.54:7980
华数7,http://58.17.134.3:8002/rtp/225.0.4.55:7980$1080p
华数8,http://58.17.134.3:8002/rtp/225.0.4.57:7980
华数9,http://58.17.134.3:8002/rtp/225.0.4.145:7980
华数10,http://58.17.134.3:8002/rtp/225.0.4.146:7980$1080p
华数11,http://58.17.134.3:8002/rtp/225.0.4.147:7980$1080p
华数12,http://58.17.134.3:8002/rtp/225.0.4.152:7980$1080p
华数13,http://58.17.134.3:8002/rtp/225.0.4.158:7980$1080p
华数14,http://58.17.134.3:8002/rtp/225.0.4.169:7980$1080p
华数15,http://58.17.134.3:8002/rtp/225.0.4.170:7980$1080p
华数16,http://58.17.134.3:8002/rtp/225.0.4.171:7980$1080p
华数17,http://58.17.134.3:8002/rtp/225.0.4.172:7980$1080p
华数18,http://58.17.134.3:8002/rtp/225.0.4.226:7980$2160p

重庆联通-组播2,#genre#
重庆卫视,http://58.17.134.3:8001/rtp/225.0.4.187:7980
重庆卫视,http://58.17.134.3:8001/rtp/225.0.4.30:7980$576p
重庆少儿,http://58.17.134.3:8001/rtp/225.0.4.191:7980$1080p
重庆少儿,http://58.17.134.3:8001/rtp/225.0.4.71:7980$576p
重庆影视剧,http://58.17.134.3:8001/rtp/225.0.4.192:7980
重庆影视剧,http://58.17.134.3:8001/rtp/225.0.4.62:7980$576p
重庆文体娱乐,http://58.17.134.3:8001/rtp/225.0.4.194:7980
重庆文体娱乐,http://58.17.134.3:8001/rtp/225.0.4.65:7980$576p
重庆新农村,http://58.17.134.3:8001/rtp/225.0.4.189:7980
重庆新农村,http://58.17.134.3:8001/rtp/225.0.4.70:7980
重庆新闻,http://58.17.134.3:8001/rtp/225.0.4.188:7980
重庆新闻,http://58.17.134.3:8001/rtp/225.0.4.59:7980$576p
