广东电信-组播1,#genre#
江苏卫视,http://183.36.240.113:9901/udp/239.77.1.40:5146
江西卫视,http://183.36.240.113:9901/udp/239.77.0.149:5146$1080p
江西卫视,http://183.36.240.113:9901/udp/239.77.0.54:5146
江西卫视,http://183.36.240.113:9901/udp/239.77.1.219:5146
江西卫视,http://183.36.240.113:9901/udp/239.77.1.73:5146
河北卫视,http://183.36.240.113:9901/udp/239.77.0.148:5146$1080p
河北卫视,http://183.36.240.113:9901/udp/239.77.1.214:5146
河南卫视,http://183.36.240.113:9901/udp/239.77.0.17:5146$1080p
河南卫视,http://183.36.240.113:9901/udp/239.77.1.229:5146
浙江卫视,http://183.36.240.113:9901/udp/239.77.0.125:5146$1080p
浙江卫视,http://183.36.240.113:9901/udp/239.77.0.12:5146$1080p
浙江卫视,http://183.36.240.113:9901/udp/239.77.0.89:5146$1080p
浙江卫视,http://183.36.240.113:9901/udp/239.77.1.150:5146
浙江卫视,http://183.36.240.113:9901/udp/239.77.1.32:5146
浙江卫视,http://183.36.240.113:9901/udp/239.77.1.33:5146
海南卫视,http://183.36.240.113:9901/udp/239.253.43.101:5146$1080p
海南卫视,http://183.36.240.113:9901/udp/239.253.43.35:5146$1080p
湖北卫视,http://183.36.240.113:9901/udp/239.77.0.128:5146$1080p
湖北卫视,http://183.36.240.113:9901/udp/239.77.0.95:5146$1080p
湖北卫视,http://183.36.240.113:9901/udp/239.77.1.174:5146
湖北卫视,http://183.36.240.113:9901/udp/239.77.1.44:5146
湖北卫视,http://183.36.240.113:9901/udp/239.77.1.93:5146
湖南卫视,http://183.36.240.113:9901/udp/239.77.0.127:5146$1080p
湖南卫视,http://183.36.240.113:9901/udp/239.77.0.6:5146$1080p
湖南卫视,http://183.36.240.113:9901/udp/239.77.0.88:5146$1080p
湖南卫视,http://183.36.240.113:9901/udp/239.77.1.129:5146
湖南卫视,http://183.36.240.113:9901/udp/239.77.1.29:5146
湖南卫视,http://183.36.240.113:9901/udp/239.77.1.5:5146
甘肃卫视,http://183.36.240.113:9901/udp/239.77.0.189:5146$1080p
甘肃卫视,http://183.36.240.113:9901/udp/239.77.1.57:5146
西藏卫视,http://183.36.240.113:9901/udp/239.77.0.74:5146$576p
西藏卫视,http://183.36.240.113:9901/udp/239.77.1.26:5146
贵州卫视,http://183.36.240.113:9901/udp/239.77.0.230:5146$1080p
贵州卫视,http://183.36.240.113:9901/udp/239.77.1.221:5146
贵州卫视,http://183.36.240.113:9901/udp/239.77.1.61:5146
辽宁卫视 ,http://183.36.240.113:9901/udp/239.77.0.161:5146$1080p
辽宁卫视,http://183.36.240.113:9901/udp/239.77.0.123:5146$1080p
辽宁卫视,http://183.36.240.113:9901/udp/239.77.1.103:5146
辽宁卫视,http://183.36.240.113:9901/udp/239.77.1.62:5146
重庆卫视,http://183.36.240.113:9901/udp/239.77.0.182:5146$1080p
重庆卫视,http://183.36.240.113:9901/udp/239.77.1.162:5146
西藏卫视,http://183.36.240.113:9901/udp/239.77.0.46:5146$1080p
陕西卫视,http://183.36.240.113:9901/udp/239.77.0.68:5146$576p
陕西卫视,http://183.36.240.113:9901/udp/239.77.1.54:5146
青海卫视,http://183.36.240.113:9901/udp/239.253.43.125:5146
青海卫视,http://183.36.240.113:9901/udp/239.77.1.70:5146
黑龙江卫视,http://183.36.240.113:9901/udp/239.77.0.124:5146$1080p
黑龙江卫视,http://183.36.240.113:9901/udp/239.77.0.93:5146$1080p
黑龙江卫视,http://183.36.240.113:9901/udp/239.77.1.179:5146
黑龙江卫视,http://183.36.240.113:9901/udp/239.77.1.6:5146
黑龙江卫视,http://183.36.240.113:9901/udp/239.77.1.71:5146
广东卫视,http://183.36.240.113:9901/udp/239.77.0.153:5146$1080p
广东卫视,http://183.36.240.113:9901/udp/239.77.0.166:5146$1080p
广东卫视,http://183.36.240.113:9901/udp/239.77.0.232:5146$1080p
广东卫视,http://183.36.240.113:9901/udp/239.77.0.233:5146$1080p
广东卫视,http://183.36.240.113:9901/udp/239.77.0.4:5146$1080p
广东卫视,http://183.36.240.113:9901/udp/239.77.0.84:5146$1080p
广东卫视,http://183.36.240.113:9901/udp/239.77.1.152:5146
广东卫视,http://183.36.240.113:9901/udp/239.77.1.19:5146
广东卫视,http://183.36.240.113:9901/udp/239.77.1.2:5146
广东4K,http://183.36.240.113:9901/udp/239.77.0.244:5146$2160p
广东4K,http://183.36.240.113:9901/udp/239.77.0.245:5146$2160p
广东4K,http://183.36.240.113:9901/udp/239.77.0.246:5146
广东4K,http://183.36.240.113:9901/udp/239.77.0.252:5146
广东4K,http://183.36.240.113:9901/udp/239.77.1.236:5146
广东4K,http://183.36.240.113:9901/udp/239.77.1.237:5146
广东九画面,http://183.36.240.113:9901/udp/239.77.1.234:5146
广东体育,http://183.36.240.113:9901/udp/239.77.0.112:5146
广东体育,http://183.36.240.113:9901/udp/239.77.0.112:5146$1080p
广东体育,http://183.36.240.113:9901/udp/239.77.0.168:5146$1080p
广东体育,http://183.36.240.113:9901/udp/239.77.1.97:5146
广东少儿,http://183.36.240.113:9901/udp/239.77.0.12:5146
广东少儿,http://183.36.240.113:9901/udp/239.77.0.250:5146$1080p
广东影视,http://183.36.240.113:9901/udp/239.77.0.11:5146
广东影视,http://183.36.240.113:9901/udp/239.77.0.217:5146$1080p
广东新闻,http://183.36.240.113:9901/udp/239.77.0.173:5146$1080p
广东民生,http://183.36.240.113:9901/udp/239.77.0.225:5146$1080p
广东珠江,http://183.36.240.113:9901/udp/239.77.0.114:5146
广东珠江,http://183.36.240.113:9901/udp/239.77.0.114:5146$1080p
广东珠江,http://183.36.240.113:9901/udp/239.77.0.1:5146
广东珠江,http://183.36.240.113:9901/udp/239.77.1.94:5146
广东移动,http://183.36.240.113:9901/udp/239.77.0.20:5146$576p
广东经济科教,http://183.36.240.113:9901/udp/239.77.0.167:5146$1080p
广东经济科教,http://183.36.240.113:9901/udp/239.77.0.85:5146$1080p
嘉佳卡通,http://183.36.240.113:9901/udp/239.77.0.13:5146
嘉佳卡通,http://183.36.240.113:9901/udp/239.77.0.179:5146$1080p
嘉佳卡通,http://183.36.240.113:9901/udp/239.77.1.15:5146
岭南戏曲,http://183.36.240.113:9901/udp/239.77.0.122:5146$1080p
岭南戏曲,http://183.36.240.113:9901/udp/239.77.0.16:5146
大湾区卫视,http://183.36.240.113:9901/udp/239.77.0.215:5146$1080p
大湾区卫视,http://183.36.240.113:9901/udp/239.77.1.12:5146
南方购物,http://183.36.240.113:9901/udp/239.77.0.19:5146$1080p
南方购物,http://183.36.240.113:9901/udp/239.77.0.22:5146$1080p
喜粤TV,http://183.36.240.113:9901/udp/239.77.0.240:5146$576p
喜粤TV,http://183.36.240.113:9901/udp/239.253.43.118:5146
广州综合,http://183.36.240.113:9901/udp/239.253.43.71:5146$1080p
广州新闻,http://183.36.240.113:9901/udp/239.253.43.72:5146$1080p
广州南国都市,http://183.36.240.113:9901/udp/239.253.43.99:5146$2160p
深圳卫视,http://183.36.240.113:9901/udp/239.77.0.130:5146$1080p
深圳卫视,http://183.36.240.113:9901/udp/239.77.0.55:5146
深圳卫视,http://183.36.240.113:9901/udp/239.77.0.92:5146$1080p
深圳卫视,http://183.36.240.113:9901/udp/239.77.0.9:5146$1080p
深圳卫视,http://183.36.240.113:9901/udp/239.77.1.148:5146
深圳卫视,http://183.36.240.113:9901/udp/239.77.1.21:5146
深圳卫视,http://183.36.240.113:9901/udp/239.77.1.3:5146
深圳公共,http://183.36.240.113:9901/udp/239.77.1.126:5146
深圳公共,http://183.36.240.113:9901/udp/239.77.1.178:5146
深圳公共,http://183.36.240.113:9901/udp/239.77.1.9:5146
深圳宜和购物,http://183.36.240.113:9901/udp/239.77.1.39:5146
深圳宜和购物,http://183.36.240.113:9901/udp/239.77.1.87:5146
深圳少儿,http://183.36.240.113:9901/udp/239.77.1.244:5146
深圳少儿,http://183.36.240.113:9901/udp/239.77.1.38:5146
深圳电视剧,http://183.36.240.113:9901/udp/239.77.1.125:5146
