北京电信-组播1,#genre#
重庆卫视,http://1.203.174.137:8180/rtp/225.1.8.172:8162
陕西卫视,http://1.203.174.137:8180/rtp/225.1.8.154:8140
青海卫视,http://1.203.174.137:8180/rtp/225.1.8.157:8184
黑龙江卫视,http://1.203.174.137:8180/rtp/225.1.8.42:8016
睛彩广场舞,http://1.203.174.137:8180/rtp/225.1.8.215:8002
睛彩竞技,http://1.203.174.137:8180/rtp/225.1.8.209:8002
睛彩篮球,http://1.203.174.137:8180/rtp/225.1.8.212:8002
睛彩青少,http://1.203.174.137:8180/rtp/225.1.8.214:8002
求索纪录,http://1.203.174.137:8180/rtp/225.1.8.138:8002
重温经典,http://1.203.174.137:8180/rtp/225.1.8.205:8002
重温经典,http://1.203.174.137:8180/rtp/225.1.8.39:8002
金鹰卡通,http://1.203.174.137:8180/rtp/225.1.8.163:9252
金鹰纪实,http://1.203.174.137:8180/rtp/225.1.8.31:8156
中国交通,http://1.203.174.137:8180/rtp/225.1.8.208:8002
中国天气,http://1.203.174.137:8180/rtp/225.1.8.72:8002
嘉佳卡通,http://1.203.174.137:8180/rtp/225.1.8.170:9268
四海钓鱼,http://1.203.174.137:8180/rtp/225.1.8.71:8002
环球旅游,http://1.203.174.137:8180/rtp/225.1.8.137:8002
证券服务,http://1.203.174.137:8180/rtp/225.1.8.87:8002
财富天下,http://1.203.174.137:8180/rtp/225.1.8.165:9136
轮播-光影,http://1.203.174.137:8180/rtp/225.1.8.244:4120
轮播-军事,http://1.203.174.137:8180/rtp/225.1.8.236:4120
轮播-军旅剧场,http://1.203.174.137:8180/rtp/225.1.8.228:4120
轮播-动作影院,http://1.203.174.137:8180/rtp/225.1.8.252:4120
轮播-动画,http://1.203.174.137:8180/rtp/225.1.8.240:4120
轮播-古装剧场,http://1.203.174.137:8180/rtp/225.1.8.229:4120
轮播-喜剧影院,http://1.203.174.137:8180/rtp/225.1.8.251:4120
轮播-国学,http://1.203.174.137:8180/rtp/225.1.8.237:4120
轮播-地理,http://1.203.174.137:8180/rtp/225.1.8.231:4120
轮播-城市剧场,http://1.203.174.137:8180/rtp/225.1.8.227:4120
轮播-墨宝,http://1.203.174.137:8180/rtp/225.1.8.243:4120
轮播-好学生,http://1.203.174.137:8180/rtp/225.1.8.241:4120
轮播-家庭影院,http://1.203.174.137:8180/rtp/225.1.8.253:4120
轮播-少儿动画,http://1.203.174.137:8180/rtp/225.1.8.207:9000
轮播-戏曲,http://1.203.174.137:8180/rtp/225.1.8.238:4120
轮播-收视指南,http://1.203.174.137:8180/rtp/225.1.8.201:8012
轮播-早教,http://1.203.174.137:8180/rtp/225.1.8.239:4120
轮播-星影,http://1.203.174.137:8180/rtp/225.1.8.254:4120
轮播-武侠剧场,http://1.203.174.137:8180/rtp/225.1.8.250:4120
轮播-武术,http://1.203.174.137:8180/rtp/225.1.8.247:4120
轮播-热播剧场,http://1.203.174.137:8180/rtp/225.1.8.202:9020
轮播-爱上4K,http://1.203.174.137:8180/rtp/225.1.8.80:2000
轮播-爱生活,http://1.203.174.137:8180/rtp/225.1.8.246:4120
轮播-精选,http://1.203.174.137:8180/rtp/225.1.8.234:4120
轮播-红色影院,http://1.203.174.137:8180/rtp/225.1.8.248:4120
轮播-经典剧场,http://1.203.174.137:8180/rtp/225.1.8.245:4120
轮播-经典电影,http://1.203.174.137:8180/rtp/225.1.8.203:9024
轮播-美人,http://1.203.174.137:8180/rtp/225.1.8.233:4120
轮播-美妆,http://1.203.174.137:8180/rtp/225.1.8.232:4120
轮播-解密,http://1.203.174.137:8180/rtp/225.1.8.235:4120
轮播-足球,http://1.203.174.137:8180/rtp/225.1.8.249:4120
轮播-鉴赏,http://1.203.174.137:8180/rtp/225.1.8.242:4120
轮播-音乐现场,http://1.203.174.137:8180/rtp/225.1.8.230:4120
轮播-魅力时尚,http://1.203.174.137:8180/rtp/225.1.8.204:9012
优购物,http://1.203.174.137:8180/rtp/225.1.8.185:8002
央广购物,http://1.203.174.137:8180/rtp/225.1.8.182:8002
央广购物,http://1.203.174.137:8180/rtp/225.1.8.183:8002
家有购物,http://1.203.174.137:8180/rtp/225.1.8.187:8002
家有购物,http://1.203.174.137:8180/rtp/225.1.8.188:8002
聚鲨环球精选,http://1.203.174.137:8180/rtp/225.1.8.216:8002
聚鲨环球精选,http://1.203.174.137:8180/rtp/225.1.8.58:8002
北京电信-组播2,#genre#
北京电信-组播3,#genre#
