河南电信-组播1,#genre#
湖北卫视,http://1.192.242.239:8188/rtp/239.16.10.21:2000$1080p
湖北卫视,http://1.192.242.239:8188/rtp/239.16.20.87:10870
湖南卫视,http://1.192.242.239:8188/rtp/239.16.10.6:2000$1080p
湖南卫视,http://1.192.242.239:8188/rtp/239.16.20.72:10720
甘肃卫视,http://1.192.242.239:8188/rtp/239.16.10.114:2000$1080p
甘肃卫视,http://1.192.242.239:8188/rtp/239.16.20.102:11020
西藏卫视,http://1.192.242.239:8188/rtp/239.16.10.106:2000$1080p
西藏卫视,http://1.192.242.239:8188/rtp/239.16.20.100:11000
贵州卫视,http://1.192.242.239:8188/rtp/239.16.10.15:2000$1080p
贵州卫视,http://1.192.242.239:8188/rtp/239.16.20.81:10810
辽宁卫视,http://1.192.242.239:8188/rtp/239.16.10.29:2000$1080p
辽宁卫视,http://1.192.242.239:8188/rtp/239.16.20.95:10950
重庆卫视,http://1.192.242.239:8188/rtp/239.16.10.13:2000$1080p
重庆卫视,http://1.192.242.239:8188/rtp/239.16.20.79:10790
陕西卫视,http://1.192.242.239:8188/rtp/239.16.10.17:2000$1080p
陕西卫视,http://1.192.242.239:8188/rtp/239.16.20.83:10830
青海卫视,http://1.192.242.239:8188/rtp/239.16.10.107:2000$1080p
青海卫视,http://1.192.242.239:8188/rtp/239.16.20.101:11010
黑龙江卫视,http://1.192.242.239:8188/rtp/239.16.10.105:2000$1080p
黑龙江卫视,http://1.192.242.239:8188/rtp/239.16.20.99:10990
河南卫视,http://1.192.242.239:8188/rtp/239.16.10.119:2000$1080p
河南卫视,http://1.192.242.239:8188/rtp/239.16.20.21:10210
河南导视,http://1.192.242.239:8188/rtp/239.16.10.218:2000$1080p
河南乡村,http://1.192.242.239:8188/rtp/239.16.10.181:2000$1080p
河南乡村,http://1.192.242.239:8188/rtp/239.16.20.195:11950
河南公共,http://1.192.242.239:8188/rtp/239.16.10.126:2000$1080p
河南公共,http://1.192.242.239:8188/rtp/239.16.20.170:11700
河南国际,http://1.192.242.239:8188/rtp/239.16.20.196:11960
河南新闻,http://1.192.242.239:8188/rtp/239.16.10.124:2000$1080p
河南新闻,http://1.192.242.239:8188/rtp/239.16.20.168:11680
河南欢腾购物,http://1.192.242.239:8188/rtp/239.16.10.125:2000$1080p
河南欢腾购物,http://1.192.242.239:8188/rtp/239.16.20.169:11690
河南民生,http://1.192.242.239:8188/rtp/239.16.10.121:2000$1080p
河南民生,http://1.192.242.239:8188/rtp/239.16.20.165:11650
河南法治,http://1.192.242.239:8188/rtp/239.16.10.122:2000$1080p
河南法治,http://1.192.242.239:8188/rtp/239.16.20.166:11660
河南电视剧,http://1.192.242.239:8188/rtp/239.16.10.123:2000$1080p
河南电视剧,http://1.192.242.239:8188/rtp/239.16.20.167:11670
河南移动电视,http://1.192.242.239:8188/rtp/239.16.10.79:2000$1080p
河南移动电视,http://1.192.242.239:8188/rtp/239.16.20.204:12040
河南都市,http://1.192.242.239:8188/rtp/239.16.10.120:2000$1080p
