天津联通-组播1,#genre#
广东卫视4K,http://125.37.57.47:8788/udp/225.1.2.100:5002$2160p
广东卫视4K,http://125.37.57.47:8788/udp/225.1.2.206:5002$2160p
浙江卫视4K,http://125.37.57.47:8788/udp/225.1.2.109:5002$2160p
江苏卫视4K,http://125.37.57.47:8788/udp/225.1.2.107:5002$2160p
深圳卫视4K,http://125.37.57.47:8788/udp/225.1.2.101:5002$2160p
湖南卫视4K,http://125.37.57.47:8788/udp/225.1.2.110:5002$2160p
三沙卫视,http://125.37.57.47:8788/udp/225.1.1.182:5002$1080p
三沙卫视,http://125.37.57.47:8788/udp/225.1.2.181:5002$576p
东南卫视,http://125.37.57.47:8788/udp/225.1.2.235:5002$1080p
东方卫视,http://125.37.57.47:8788/udp/225.1.1.45:5002$576p
东方卫视,http://125.37.57.47:8788/udp/225.1.2.31:5002$1080p
云南卫视,http://125.37.57.47:8788/udp/225.1.1.61:5002$576p
云南卫视,http://125.37.57.47:8788/udp/225.1.1.250:5002$1080p
兵团卫视,http://125.37.57.47:8788/udp/225.1.1.169:5002$1080p
内蒙古卫视,http://125.37.57.47:8788/udp/225.1.1.165:5002$1080p
北京卫视,http://125.37.57.47:8788/udp/225.1.1.113:5002$1080p
北京卫视,http://125.37.57.47:8788/udp/225.1.1.47:5002$576p
吉林卫视,http://125.37.57.47:8788/udp/225.1.1.44:5002$576p
吉林卫视,http://125.37.57.47:8788/udp/225.1.2.26:5002$1080p
四川卫视,http://125.37.57.47:8788/udp/225.1.1.123:5002$1080p
四川卫视,http://125.37.57.47:8788/udp/225.1.1.37:5002$576p
宁夏卫视,http://125.37.57.47:8788/udp/225.1.1.168:5002$1080p
安徽卫视,http://125.37.57.47:8788/udp/225.1.1.127:5002$1080p
安徽卫视,http://125.37.57.47:8788/udp/225.1.1.42:5002$576p
山东卫视,http://125.37.57.47:8788/udp/225.1.1.148:5002$1080p
山西卫视,http://125.37.57.47:8788/udp/225.1.1.136:5002$1080p
广东卫视,http://125.37.57.47:8788/udp/225.1.1.116:5002$1080p
广东卫视,http://125.37.57.47:8788/udp/225.1.1.29:5002$576p
广西卫视,http://125.37.57.47:8788/udp/225.1.2.81:5002$1080p
新疆卫视,http://125.37.57.47:8788/udp/225.1.1.166:5002$1080p
江苏卫视,http://125.37.57.47:8788/udp/225.1.1.126:5002$1080p
江苏卫视,http://125.37.57.47:8788/udp/225.1.1.52:5002$576p
江西卫视,http://125.37.57.47:8788/udp/225.1.1.39:5002$576p
江西卫视,http://125.37.57.47:8788/udp/225.1.2.29:5002$1080p
河北卫视,http://125.37.57.47:8788/udp/225.1.1.49:5002$576p
河北卫视,http://125.37.57.47:8788/udp/225.1.2.27:5002$1080p
河南卫视,http://125.37.57.47:8788/udp/225.1.1.53:5002$576p
河南卫视,http://125.37.57.47:8788/udp/225.1.2.61:5002$1080p
浙江卫视,http://125.37.57.47:8788/udp/225.1.1.112:5002$1080p
浙江卫视,http://125.37.57.47:8788/udp/225.1.1.33:5002$576p
海南卫视,http://125.37.57.47:8788/udp/225.1.1.31:5002$576p
