山东联通-组播1,#genre#
中央新影-中学生,http://39.77.161.85:4002/udp/239.253.254.163:8000
中央新影-发现之旅,http://39.77.161.85:4002/udp/239.253.254.162:8000
中央新影-老故事,http://39.77.161.85:4002/udp/239.253.254.164:8000
东方卫视4K,http://39.77.161.85:4002/udp/239.253.254.176:8000
北京卫视4K,http://39.77.161.85:4002/udp/239.253.254.200:8000
四川卫视4K,http://39.77.161.85:4002/udp/239.253.254.123:8000
山东卫视4K,http://39.77.161.85:4002/udp/239.253.254.172:8000
广东卫视4K,http://39.77.161.85:4002/udp/239.253.254.108:8000
江苏卫视4K,http://39.77.161.85:4002/udp/239.253.254.133:8000
浙江卫视4K,http://39.77.161.85:4002/udp/239.253.254.27:8000
深圳卫视4K,http://39.77.161.85:4002/udp/239.253.254.61:8000
湖南卫视4K,http://39.77.161.85:4002/udp/239.253.254.28:8000
三沙卫视,http://39.77.161.85:4002/udp/239.253.254.171:8000
东南卫视,http://39.77.161.85:4002/udp/239.253.254.105:8000
东南卫视,http://39.77.161.85:4002/udp/239.253.254.41:8000
东方卫视,http://39.77.161.85:4002/udp/239.253.254.32:8000
东方卫视,http://39.77.161.85:4002/udp/239.253.254.86:8000
云南卫视,http://39.77.161.85:4002/udp/239.253.254.196:8000
兵团卫视,http://39.77.161.85:4002/udp/239.253.254.57:8000
内蒙古卫视,http://39.77.161.85:4002/udp/239.253.254.58:8000
农林卫视,http://39.77.161.85:4002/udp/239.253.254.70:8000
北京卫视,http://39.77.161.85:4002/udp/239.253.254.31:8000
北京卫视,http://39.77.161.85:4002/udp/239.253.254.85:8000
厦门卫视,http://39.77.161.85:4002/udp/239.253.254.106:8000
吉林卫视,http://39.77.161.85:4002/udp/239.253.254.173:8000
吉林卫视,http://39.77.161.85:4002/udp/239.253.254.46:8000
四川卫视,http://39.77.161.85:4002/udp/239.253.254.180:8000
四川卫视,http://39.77.161.85:4002/udp/239.253.254.50:8000
天津卫视,http://39.77.161.85:4002/udp/239.253.254.34:8000
天津卫视,http://39.77.161.85:4002/udp/239.253.254.89:8000
宁夏卫视,http://39.77.161.85:4002/udp/239.253.254.150:8000
安徽卫视,http://39.77.161.85:4002/udp/239.253.254.30:8000
安徽卫视,http://39.77.161.85:4002/udp/239.253.254.87:8000
山西卫视,http://39.77.161.85:4002/udp/239.253.254.48:8000
广东卫视,http://39.77.161.85:4002/udp/239.253.254.90:8000
广西卫视,http://39.77.161.85:4002/udp/239.253.254.197:8000
延边卫视,http://39.77.161.85:4002/udp/239.253.254.121:8000
新疆卫视,http://39.77.161.85:4002/udp/239.253.254.60:8000
江苏卫视,http://39.77.161.85:4002/udp/239.253.254.83:8000
江西卫视,http://39.77.161.85:4002/udp/239.253.254.47:8000
河北卫视,http://39.77.161.85:4002/udp/239.253.254.112:8000
河南卫视,http://39.77.161.85:4002/udp/239.253.254.190:8000
河南卫视,http://39.77.161.85:4002/udp/239.253.254.44:8000
浙江卫视,http://39.77.161.85:4002/udp/239.253.254.29:8000
浙江卫视,http://39.77.161.85:4002/udp/239.253.254.84:8000
海南卫视,http://39.77.161.85:4002/udp/239.253.254.179:8000
海南卫视,http://39.77.161.85:4002/udp/239.253.254.35:8000
深圳卫视,http://39.77.161.85:4002/udp/239.253.254.91:8000
湖北卫视,http://39.77.161.85:4002/udp/239.253.254.45:8000
湖北卫视,http://39.77.161.85:4002/udp/239.253.254.88:8000
湖南卫视,http://39.77.161.85:4002/udp/239.253.254.82:8000
甘肃卫视,http://39.77.161.85:4002/udp/239.253.254.52:8000
甘肃卫视,http://39.77.161.85:4002/udp/239.253.254.74:8000
西藏卫视,http://39.77.161.85:4002/udp/239.253.254.56:8000
贵州卫视,http://39.77.161.85:4002/udp/239.253.254.113:8000
辽宁卫视,http://39.77.161.85:4002/udp/239.253.254.36:8000
辽宁卫视,http://39.77.161.85:4002/udp/239.253.254.92:8000
重庆卫视,http://39.77.161.85:4002/udp/239.253.254.38:8000
陕西卫视,http://39.77.161.85:4002/udp/239.253.254.49:8000
青海卫视,http://39.77.161.85:4002/udp/239.253.254.195:8000
青海卫视,http://39.77.161.85:4002/udp/239.253.254.54:8000
黑龙江卫视,http://39.77.161.85:4002/udp/239.253.254.93:8000
山东九画面,http://39.77.161.85:4002/udp/239.253.254.167:8000
山东体育休闲,http://39.77.161.85:4002/udp/239.253.254.22:8000
山东农科,http://39.77.161.85:4002/udp/239.253.254.24:8000
山东卫视,http://39.77.161.85:4002/udp/239.253.254.78:8000
山东少儿,http://39.77.161.85:4002/udp/239.253.254.25:8000
山东居家购物,http://39.77.161.85:4002/udp/239.253.254.104:8000
山东教育,http://39.77.161.85:4002/udp/239.253.254.59:8000
山东文旅,http://39.77.161.85:4002/udp/239.253.254.158:8000
山东文旅,http://39.77.161.85:4002/udp/239.253.254.160:8000
山东新闻,http://39.77.161.85:4002/udp/239.253.254.23:8000
山东生活,http://39.77.161.85:4002/udp/239.253.254.151:8000
山东综艺,http://39.77.161.85:4002/udp/239.253.254.159:8000
山东齐鲁,http://39.77.161.85:4002/udp/239.253.254.114:8000
青岛新闻综合,http://39.77.161.85:4002/udp/239.253.254.249:8000
青岛经济生活,http://39.77.161.85:4002/udp/239.253.254.250:8000
青岛影视,http://39.77.161.85:4002/udp/239.253.254.251:8000
青岛教育,http://39.77.161.85:4002/udp/239.253.254.254:8000
青岛文化娱乐,http://39.77.161.85:4002/udp/239.253.254.252:8000
