贵州电信-组播1,#genre#
雷山综合,http://111.122.71.47:4000/rtp/238.255.2.128:5999$1080p
六盘水综合,http://111.122.71.47:4000/rtp/238.255.2.115:5999$1080p
黔东南综合,http://111.122.71.47:4000/rtp/238.255.2.179:5999$1080p
黔南综合,http://111.122.71.47:4000/rtp/238.255.2.150:5999$1080p
黔西南综合,http://111.122.71.47:4000/rtp/238.255.2.126:5999$1080p
黔西综合,http://111.122.71.47:4000/rtp/238.255.2.161:5999$1080p
铜仁新闻综合,http://111.122.71.47:4000/rtp/238.255.2.31:5999$1080p
瓮安综合,http://111.122.71.47:4000/rtp/238.255.2.216:5999$1080p
遵义综合,http://111.122.71.47:4000/rtp/238.255.2.153:5999$1080p
桐梓综合,http://111.122.71.47:4000/rtp/238.255.2.162:5999$576p
思南综合,http://111.122.71.47:4000/rtp/238.255.2.218:5999$1080p
财富天下,http://111.122.71.47:4000/rtp/238.255.2.54:5999$1080p
国学频道,http://111.122.71.47:4000/rtp/238.255.2.176:5999$576p
环球奇观,http://111.122.71.47:4000/rtp/238.255.2.43:5999$576p
家有购物,http://111.122.71.47:4000/rtp/238.255.2.10:5999$1080p
嘉佳卡通,http://111.122.71.47:4000/rtp/238.255.2.62:5999$576p
金鹰纪实,http://111.122.71.47:4000/rtp/238.255.2.50:5999$1080p
金鹰卡通,http://111.122.71.47:4000/rtp/238.255.2.55:5999$1080p
山东教育,http://111.122.71.47:4000/rtp/238.255.2.79:5999$1080p
书画,http://111.122.71.47:4000/rtp/238.255.2.177:5999$576p
天元围棋,http://111.122.71.47:4000/rtp/238.255.2.7:5999$1080p
重庆汽摩,http://111.122.71.47:4000/rtp/238.255.2.148:5999$576p

贵州电信-组播2,#genre#

贵州电信-组播3,#genre#

