安徽电信-组播1,#genre#
阜阳新闻综合,http://60.168.237.249:6688/rtp/238.1.78.124:6864
阜阳生活,http://60.168.237.249:6688/rtp/238.1.78.125:6872
阜阳都市文艺,http://60.168.237.249:6688/rtp/238.1.78.127:6888
霍山综合,http://60.168.237.249:6688/rtp/238.1.78.220:7632
霍邱新闻综合,http://60.168.237.249:6688/rtp/238.1.78.119:6824
颍上新闻综合,http://60.168.237.249:6688/rtp/238.1.78.194:7424
马鞍山新闻综合,http://60.168.237.249:6688/rtp/238.1.79.15:4232
马鞍山科教生活,http://60.168.237.249:6688/rtp/238.1.78.77:6488
黄山文旅,http://60.168.237.249:6688/rtp/238.1.78.131:6920
黄山新闻综合,http://60.168.237.249:6688/rtp/238.1.78.130:6912
黟县综合,http://60.168.237.249:6688/rtp/238.1.78.149:7064
东方财经,http://60.168.237.249:6688/rtp/238.1.78.73:6456
乐游,http://60.168.237.249:6688/rtp/238.1.78.151:7080
动漫秀场,http://60.168.237.249:6688/rtp/238.1.78.154:7104
生活时尚,http://60.168.237.249:6688/rtp/238.1.78.155:7112
快乐垂钓,http://60.168.237.249:6688/rtp/238.1.79.31:4360
文物宝库,http://60.168.237.249:6688/rtp/238.1.79.16:4240
梨园频道,http://60.168.237.249:6688/rtp/238.1.79.10:4192
武术世界,http://60.168.237.249:6688/rtp/238.1.79.8:4176
江西陶瓷,http://60.168.237.249:6688/rtp/238.1.78.157:7128
法治天地,http://60.168.237.249:6688/rtp/238.1.78.7:7960
法治天地,http://60.168.237.249:6688/rtp/238.1.78.84:6544
游戏风云,http://60.168.237.249:6688/rtp/238.1.78.4:7936
游戏风云,http://60.168.237.249:6688/rtp/238.1.78.81:6520
财富天下,http://60.168.237.249:6688/rtp/238.1.78.25:6128
都市剧场,http://60.168.237.249:6688/rtp/238.1.78.5:7944
都市剧场,http://60.168.237.249:6688/rtp/238.1.78.74:6464
金色学堂,http://60.168.237.249:6688/rtp/238.1.78.6:7952
金鹰卡通,http://60.168.237.249:6688/rtp/238.1.78.100:6672
金鹰纪实,http://60.168.237.249:6688/rtp/238.1.79.9:4184
华数·军旅剧场,http://60.168.237.249:6688/rtp/238.1.78.11:7992
华数·古装剧场,http://60.168.237.249:6688/rtp/238.1.78.12:4000
华数·家庭影院,http://60.168.237.249:6688/rtp/238.1.78.14:4016
华数·星影,http://60.168.237.249:6688/rtp/238.1.79.7:4168
华数·经典电影,http://60.168.237.249:6688/rtp/238.1.78.10:7984
华数·谍战剧场,http://60.168.237.249:6688/rtp/238.1.78.2:7920
央视网·军事,http://60.168.237.249:6688/rtp/238.1.79.3:4136
央视网·台球,http://60.168.237.249:6688/rtp/238.1.78.251:7880
央视网·国学,http://60.168.237.249:6688/rtp/238.1.78.34:4064
央视网·地理,http://60.168.237.249:6688/rtp/238.1.79.4:4144
央视网·墨宝,http://60.168.237.249:6688/rtp/238.1.78.39:4104
央视网·戏曲,http://60.168.237.249:6688/rtp/238.1.78.35:4072
央视网·爱生活,http://60.168.237.249:6688/rtp/238.1.78.17:4040
央视网·相声小品,http://60.168.237.249:6688/rtp/238.1.78.3:7928
央视网·精选,http://60.168.237.249:6688/rtp/238.1.78.19:4056
央视网·解密,http://60.168.237.249:6688/rtp/238.1.79.6:4160
央视网·足球,http://60.168.237.249:6688/rtp/238.1.78.250:7872
央视网·鉴赏,http://60.168.237.249:6688/rtp/238.1.78.38:4096
安徽电信-组播2,#genre#
BRTV卡酷少儿,http://124.112.241.231:4022/rtp/238.1.78.97:6648
CCTV-1 综合,http://124.112.241.231:4022/rtp/238.1.78.166:7200
CCTV-2 财经,http://124.112.241.231:4022/rtp/238.1.78.235:7752
CCTV-3 综艺,http://124.112.241.231:4022/rtp/238.1.78.170:7232
CCTV-4 中文国际,http://124.112.241.231:4022/rtp/238.1.78.236:7760
CCTV-5 体育,http://124.112.241.231:4022/rtp/238.1.78.171:7240
CCTV-5+ 体育赛事,http://124.112.241.231:4022/rtp/238.1.78.237:7768
CCTV-6 电影,http://124.112.241.231:4022/rtp/238.1.78.172:7248
CCTV-7 国防军事,http://124.112.241.231:4022/rtp/238.1.78.239:7784
CCTV-8 电视剧,http://124.112.241.231:4022/rtp/238.1.78.173:7256
CCTV-9 纪录,http://124.112.241.231:4022/rtp/238.1.78.240:7792
CCTV-10 科教,http://124.112.241.231:4022/rtp/238.1.78.241:7800
CCTV-11 戏曲,http://124.112.241.231:4022/rtp/238.1.78.206:7502
CCTV-12 社会与法,http://124.112.241.231:4022/rtp/238.1.78.242:7808
CCTV-13 新闻,http://124.112.241.231:4022/rtp/238.1.79.35:4392
CCTV-14 少儿,http://124.112.241.231:4022/rtp/238.1.78.243:7816
CCTV-15 音乐,http://124.112.241.231:4022/rtp/238.1.78.222:7648
CCTV-17 农业农村,http://124.112.241.231:4022/rtp/238.1.78.178:7296
CCTV4K,http://124.112.241.231:4022/rtp/238.1.79.23:4296
CCTV世界地理,http://124.112.241.231:4022/rtp/238.1.79.60:4616
CCTV兵器科技,http://124.112.241.231:4022/rtp/238.1.79.56:4584
CCTV央视台球,http://124.112.241.231:4022/rtp/238.1.79.59:4608
CCTV央视文化精品,http://124.112.241.231:4022/rtp/238.1.79.54:4568
CCTV女性时尚,http://124.112.241.231:4022/rtp/238.1.79.55:4576
CCTV怀旧剧场,http://124.112.241.231:4022/rtp/238.1.79.61:4624
CCTV电视指南,http://124.112.241.231:4022/rtp/238.1.79.53:4560
CCTV第一剧场,http://124.112.241.231:4022/rtp/238.1.79.63:4640
CCTV风云剧场,http://124.112.241.231:4022/rtp/238.1.79.62:4632
CCTV风云足球,http://124.112.241.231:4022/rtp/238.1.79.57:4592
CCTV风云音乐,http://124.112.241.231:4022/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://124.112.241.231:4022/rtp/238.1.79.58:4600
CETV1,http://124.112.241.231:4022/rtp/238.1.78.158:7136
CETV2,http://124.112.241.231:4022/rtp/238.1.78.106:6720
CETV4,http://124.112.241.231:4022/rtp/238.1.78.107:6728
CGTN,http://124.112.241.231:4022/rtp/238.1.78.50:6272
