内蒙古联通-组播1,#genre#
北京卫视,http://124.67.68.139:4022/udp/239.125.1.176:4130
北京卫视,http://124.67.68.139:4022/udp/239.125.2.73:4120
吉林卫视,http://124.67.68.139:4022/udp/239.125.2.191:4120
吉林卫视,http://124.67.68.139:4022/udp/239.125.2.205:4120
四川卫视,http://124.67.68.139:4022/udp/239.125.1.175:4130
四川卫视,http://124.67.68.139:4022/udp/239.125.1.240:4120
四川卫视,http://124.67.68.139:4022/udp/239.125.2.79:4120
天津卫视,http://124.67.68.139:4022/udp/239.125.1.153:4130
天津卫视,http://124.67.68.139:4022/udp/239.125.2.81:4120
宁夏卫视,http://124.67.68.139:4022/udp/239.125.1.157:4130
宁夏卫视,http://124.67.68.139:4022/udp/239.125.1.230:4120
安徽卫视,http://124.67.68.139:4022/udp/239.125.1.173:4130
安徽卫视,http://124.67.68.139:4022/udp/239.125.2.78:4120
山东卫视,http://124.67.68.139:4022/udp/239.125.1.149:4130
山东卫视,http://124.67.68.139:4022/udp/239.125.2.75:4120
山东教育,http://124.67.68.139:4022/udp/239.125.1.178:4130
山西卫视,http://124.67.68.139:4022/udp/239.125.1.119:4130
广东卫视,http://124.67.68.139:4022/udp/239.125.1.154:4130
广东卫视,http://124.67.68.139:4022/udp/239.125.2.71:4120
广西卫视,http://124.67.68.139:4022/udp/239.125.1.167:4130
广西卫视,http://124.67.68.139:4022/udp/239.125.1.225:4120
新疆卫视,http://124.67.68.139:4022/udp/239.125.1.123:4130
新疆卫视,http://124.67.68.139:4022/udp/239.125.1.228:4120
江苏卫视,http://124.67.68.139:4022/udp/239.125.1.172:4130
江苏卫视,http://124.67.68.139:4022/udp/239.125.2.69:4120
江西卫视,http://124.67.68.139:4022/udp/239.125.1.174:4130
河北卫视,http://124.67.68.139:4022/udp/239.125.1.169:4130
河北卫视,http://124.67.68.139:4022/udp/239.125.2.70:4120
河南卫视,http://124.67.68.139:4022/udp/239.125.1.156:4130
河南卫视,http://124.67.68.139:4022/udp/239.125.1.215:4120
河南卫视,http://124.67.68.139:4022/udp/239.125.1.238:4120
浙江卫视,http://124.67.68.139:4022/udp/239.125.1.159:4130
浙江卫视,http://124.67.68.139:4022/udp/239.125.2.68:4120
海南卫视,http://124.67.68.139:4022/udp/239.125.1.165:4130
海南卫视,http://124.67.68.139:4022/udp/239.125.1.241:4120
海南卫视,http://124.67.68.139:4022/udp/239.125.2.189:4120
深圳卫视,http://124.67.68.139:4022/udp/239.125.1.166:4130
深圳卫视,http://124.67.68.139:4022/udp/239.125.2.76:4120
湖北卫视,http://124.67.68.139:4022/udp/239.125.1.152:4130
湖北卫视,http://124.67.68.139:4022/udp/239.125.2.74:4120
湖南卫视,http://124.67.68.139:4022/udp/239.125.1.170:4130
湖南卫视,http://124.67.68.139:4022/udp/239.125.2.67:4120
甘肃卫视,http://124.67.68.139:4022/udp/239.125.1.151:4130
甘肃卫视,http://124.67.68.139:4022/udp/239.125.2.190:4120
西藏卫视,http://124.67.68.139:4022/udp/239.125.1.226:4120
西藏卫视,http://124.67.68.139:4022/udp/239.125.1.117:4130
西藏卫视,http://124.67.68.139:4022/udp/239.125.1.227:4120
贵州卫视,http://124.67.68.139:4022/udp/239.125.1.158:4130
贵州卫视,http://124.67.68.139:4022/udp/239.125.2.80:4120
辽宁卫视,http://124.67.68.139:4022/udp/239.125.1.115:4130
辽宁卫视,http://124.67.68.139:4022/udp/239.125.2.72:4120
重庆卫视,http://124.67.68.139:4022/udp/239.125.1.168:4130
陕西卫视,http://124.67.68.139:4022/udp/239.125.1.155:4130
陕西卫视,http://124.67.68.139:4022/udp/239.125.1.239:4120
青海卫视,http://124.67.68.139:4022/udp/239.125.1.150:4130
黑龙江卫视,http://124.67.68.139:4022/udp/239.125.1.171:4130
黑龙江卫视,http://124.67.68.139:4022/udp/239.125.2.83:4120
内蒙古卫视,http://124.67.68.139:4022/udp/239.125.1.242:4120
内蒙古卫视,http://124.67.68.139:4022/udp/239.125.1.58:5000
内蒙古卫视,http://124.67.68.139:4022/udp/239.125.1.59:5000
内蒙古卫视,http://124.67.68.139:4022/udp/239.125.1.68:5000
内蒙古卫视,http://124.67.68.139:4022/udp/239.125.2.194:4120
内蒙古卫视,http://124.67.68.139:4022/udp/239.125.2.50:4120
内蒙古农牧,http://124.67.68.139:4022/udp/239.125.1.61:5000
内蒙古农牧,http://124.67.68.139:4022/udp/239.125.1.73:4120
内蒙古少儿,http://124.67.68.139:4022/udp/239.125.1.60:5000
内蒙古少儿,http://124.67.68.139:4022/udp/239.125.1.69:4120
内蒙古文体娱乐,http://124.67.68.139:4022/udp/239.125.1.62:5000
