陕西电信-组播1,#genre#
CGTN法语,http://1.83.123.170:8888/rtp/239.110.205.80:7956
CGTN法语,http://1.83.123.170:8888/rtp/239.111.205.34:5140
CGTN纪录,http://1.83.123.170:8888/rtp/239.111.205.85:5140
CGTN西语,http://1.83.123.170:8888/rtp/239.110.205.79:7960
CGTN西语,http://1.83.123.170:8888/rtp/239.111.205.33:5140
CGTN阿语,http://1.83.123.170:8888/rtp/239.111.205.86:5140
凤凰中文,http://1.83.123.170:8888/rtp/239.111.205.78:5140
凤凰资讯,http://1.83.123.170:8888/rtp/239.111.205.82:5140
爱上4K,http://1.83.123.170:8888/rtp/239.109.205.53:8360
爱上4K,http://1.83.123.170:8888/rtp/239.112.205.186:5140
东方卫视4K,http://1.83.123.170:8888/rtp/239.111.205.67:5140
北京卫视4K,http://1.83.123.170:8888/rtp/239.109.205.5:9144
北京卫视4K,http://1.83.123.170:8888/rtp/239.111.205.51:5140
四川卫视4K,http://1.83.123.170:8888/rtp/239.110.205.90:7916
四川卫视4K,http://1.83.123.170:8888/rtp/239.111.205.62:5140
山东卫视4K,http://1.83.123.170:8888/rtp/239.110.205.6:9770
山东卫视4K,http://1.83.123.170:8888/rtp/239.111.205.66:5140
广东卫视4K,http://1.83.123.170:8888/rtp/239.110.205.36:9850
广东卫视4K,http://1.83.123.170:8888/rtp/239.111.205.103:5140
江苏卫视4K,http://1.83.123.170:8888/rtp/239.109.205.97:8712
江苏卫视4K,http://1.83.123.170:8888/rtp/239.111.205.64:5140
浙江卫视4K,http://1.83.123.170:8888/rtp/239.109.205.104:8768
浙江卫视4K,http://1.83.123.170:8888/rtp/239.111.205.65:5140
深圳卫视4K,http://1.83.123.170:8888/rtp/239.109.205.195:9642
深圳卫视4K,http://1.83.123.170:8888/rtp/239.111.205.104:5140
湖南卫视4K,http://1.83.123.170:8888/rtp/239.110.205.91:7912
湖南卫视4K,http://1.83.123.170:8888/rtp/239.111.205.63:5140

三沙卫视,http://1.83.123.170:8888/rtp/239.111.205.52:5140
东南卫视,http://1.83.123.170:8888/rtp/239.109.205.177:9626
东南卫视,http://1.83.123.170:8888/rtp/239.109.205.37:8224
东南卫视,http://1.83.123.170:8888/rtp/239.112.205.182:5140
东南卫视,http://1.83.123.170:8888/rtp/239.112.205.42:5140
东方卫视,http://1.83.123.170:8888/rtp/239.109.205.121:8904
东方卫视,http://1.83.123.170:8888/rtp/239.109.205.21:8096
东方卫视,http://1.83.123.170:8888/rtp/239.112.205.28:5140
