北京移动-组播1,#genre#
CETV2,http://223.72.47.219:4022/rtp/228.1.1.97:4120
CETV3,http://223.72.47.219:4022/rtp/228.1.1.98:4120
CETV4,http://223.72.47.219:4022/rtp/228.1.1.99:4120
CGTN纪录http://223.72.47.219:4022/rtp/228.1.1.205:4220
CGTN,http://223.72.47.219:4022/rtp/228.1.1.204:4220
CGTN西语,http://223.72.47.219:4022/rtp/228.1.1.206:4220
CGTN法语,http://223.72.47.219:4022/rtp/228.1.1.207:4220
CGTN俄语,http://223.72.47.219:4022/rtp/228.1.1.209:4220
CGTN阿语,http://223.72.47.219:4022/rtp/228.1.1.208:4220
湖南卫视4K,http://223.72.47.219:4022/rtp/228.1.1.40:3002
江苏卫视4K,http://223.72.47.219:4022/rtp/228.1.1.41:3002
东方卫视4K,http://223.72.47.219:4022/rtp/228.1.1.43:3006
浙江卫视4K,http://223.72.47.219:4022/rtp/228.1.1.45:3004
山东卫视4K,http://223.72.47.219:4022/rtp/228.1.1.46:3006
四川卫视4K,http://223.72.47.219:4022/rtp/228.1.1.47:3000
北京卫视4K,http://223.72.47.219:4022/rtp/228.1.1.234:8002
北京卫视4K,http://223.72.47.219:4022/rtp/228.1.1.235:8002
安徽卫视,http://223.72.47.219:4022/rtp/228.1.1.21:8064
北京卫视,http://223.72.47.219:4022/rtp/228.1.1.115:8000
兵团卫视,http://223.72.47.219:4022/rtp/228.1.1.177:4120
重庆卫视,http://223.72.47.219:4022/rtp/228.1.1.210:8160
东方卫视,http://223.72.47.219:4022/rtp/228.1.1.39:8032
东南卫视,http://223.72.47.219:4022/rtp/228.1.1.185:8148
甘肃卫视,http://223.72.47.219:4022/rtp/228.1.1.61:8188
广东卫视,http://223.72.47.219:4022/rtp/228.1.1.17:8048
广西卫视,http://223.72.47.219:4022/rtp/228.1.1.80:8300
贵州卫视,http://223.72.47.219:4022/rtp/228.1.1.188:8076
海南卫视,http://223.72.47.219:4022/rtp/228.1.1.81:8304
河北卫视,http://223.72.47.219:4022/rtp/228.1.1.187:8072
河南卫视,http://223.72.47.219:4022/rtp/228.1.1.50:8128
黑龙江卫视,http://223.72.47.219:4022/rtp/228.1.1.35:8016
湖北卫视,http://223.72.47.219:4022/rtp/228.1.1.16:8044
湖南卫视,http://223.72.47.219:4022/rtp/228.1.1.33:8012
吉林卫视,http://223.72.47.219:4022/rtp/228.1.1.214:8172
江苏卫视,http://223.72.47.219:4022/rtp/228.1.1.37:8028
江西卫视,http://223.72.47.219:4022/rtp/228.1.1.211:8164
辽宁卫视,http://223.72.47.219:4022/rtp/228.1.1.19:8056
内蒙古卫视,http://223.72.47.219:4022/rtp/228.1.1.59:8176
宁夏卫视,http://223.72.47.219:4022/rtp/228.1.1.49:8124
青海卫视,http://223.72.47.219:4022/rtp/228.1.1.60:8184
三沙卫视,http://223.72.47.219:4022/rtp/228.1.1.186:4120
厦门卫视,http://223.72.47.219:4022/rtp/228.1.1.176:4120
山东卫视,http://223.72.47.219:4022/rtp/228.1.1.18:8052
山西卫视,http://223.72.47.219:4022/rtp/228.1.1.58:8172
陕西卫视,http://223.72.47.219:4022/rtp/228.1.1.53:8140
