河南联通-组播1,#genre#
健康河南,http://123.10.76.58:40000/rtp/225.1.5.48:1358
文物宝库,http://123.10.76.58:40000/rtp/225.1.4.100:1129
梨园频道,http://123.10.76.58:40000/rtp/225.1.4.99:1128
武术世界,http://123.10.76.58:40000/rtp/225.1.4.101:1130
郑州新闻综合,http://123.10.76.58:40000/rtp/225.1.4.140:1176
郑州商都,http://123.10.76.58:40000/rtp/225.1.4.141:1177
郑州文体旅游,http://123.10.76.58:40000/rtp/225.1.4.142:1178
郑州豫剧,http://123.10.76.58:40000/rtp/225.1.4.146:1182
郑州妇女儿童,http://123.10.76.58:40000/rtp/225.1.4.147:1183
郑州都市生活,http://123.10.76.58:40000/rtp/225.1.4.149:1185
郑州教育,http://123.10.76.58:40000/rtp/225.1.4.191:1241
新密综合,http://123.10.76.58:40000/rtp/225.1.4.239:1285
登封综合,http://123.10.76.58:40000/rtp/225.1.4.240:1286
巩义综合,http://123.10.76.58:40000/rtp/225.1.5.50:1360
新郑综合,http://123.10.76.58:40000/rtp/225.1.4.243:1289
信阳新闻综合,http://123.10.76.58:40000/rtp/225.1.4.130:1166
信阳文旅,http://123.10.76.58:40000/rtp/225.1.4.137:1173
洛阳新闻综合,http://123.10.76.58:40000/rtp/225.1.4.104:1133
洛阳新闻综合,http://123.10.76.58:40000/rtp/225.1.4.107:1135
洛阳科教,http://123.10.76.58:40000/rtp/225.1.4.105:1134
洛阳文旅,http://123.10.76.58:40000/rtp/225.1.4.106:1135
淅川综合,http://123.10.76.58:40000/rtp/225.1.4.112:1292
孟津综合,http://123.10.76.58:40000/rtp/225.1.5.22:1333
宜阳综合,http://123.10.76.58:40000/rtp/225.1.5.47:1357
嵩县综合,http://123.10.76.58:40000/rtp/225.1.5.23:1335
焦作综合,http://123.10.76.58:40000/rtp/225.1.4.128:1164
焦作文旅,http://123.10.76.58:40000/rtp/225.1.4.129:1165
济源综合,http://123.10.76.58:40000/rtp/225.1.4.118:1147
许昌综合,http://123.10.76.58:40000/rtp/225.1.4.108:1137
许昌农业科教,http://123.10.76.58:40000/rtp/225.1.4.110:1139
禹州综合,http://123.10.76.58:40000/rtp/225.1.4.238:1284
临颍综合,http://123.10.76.58:40000/rtp/225.1.5.26:1337
驻马店新闻综合,http://123.10.76.58:40000/rtp/225.1.4.132:1168
驻马店公共,http://123.10.76.58:40000/rtp/225.1.4.136:1172
驻马店科教,http://123.10.76.58:40000/rtp/225.1.4.133:1168
西平综合,http://123.10.76.58:40000/rtp/225.1.5.29:1341
漯河新闻综合,http://123.10.76.58:40000/rtp/225.1.4.126:1162
漯河文旅,http://123.10.76.58:40000/rtp/225.1.4.127:1163
舞阳综合,http://123.10.76.58:40000/rtp/225.1.5.27:1339
南阳新闻综合,http://123.10.76.58:40000/rtp/225.1.4.114:1142
南阳新闻综合,http://123.10.76.58:40000/rtp/225.1.4.115:1144
南阳科教,http://123.10.76.58:40000/rtp/225.1.4.116:1145
邓州综合,http://123.10.76.58:40000/rtp/225.1.4.193:1243
镇平新闻综合,http://123.10.76.58:40000/rtp/225.1.5.24:1336
三门峡新闻综合,http://123.10.76.58:40000/rtp/225.1.4.134:1170
三门峡文旅,http://123.10.76.58:40000/rtp/225.1.4.135:1171
渑池新闻综合,http://123.10.76.58:40000/rtp/225.1.4.246:1290
卢氏综合,http://123.10.76.58:40000/rtp/225.1.5.57:1367
陕州综合,http://123.10.76.58:40000/rtp/225.1.5.59:1369
平顶山新闻综合,http://123.10.76.58:40000/rtp/225.1.4.124:1160
平顶山城市,http://123.10.76.58:40000/rtp/225.1.4.125:1161
平顶山公共,http://123.10.76.58:40000/rtp/225.1.4.138:1173
平顶山教育,http://123.10.76.58:40000/rtp/225.1.5.55:1365
舞钢综合,http://123.10.76.58:40000/rtp/225.1.4.218:1271
郏县综合,http://123.10.76.58:40000/rtp/225.1.5.25:1337
新郑综合,http://123.10.76.58:40000/rtp/225.1.4.243:1289
巩义综合,http://123.10.76.58:40000/rtp/225.1.5.50:1360
登封综合,http://123.10.76.58:40000/rtp/225.1.4.240:1286
新密综合,http://123.10.76.58:40000/rtp/225.1.4.239:1285
BRTV卡酷少儿,http://123.10.76.58:40000/rtp/225.1.4.48:1077
BRTV纪实科教,http://123.10.76.58:40000/rtp/225.1.5.74:1384
国学频道,http://123.10.76.58:40000/rtp/225.1.4.196:1311
金鹰卡通,http://123.10.76.58:40000/rtp/225.1.4.49:1078
嘉佳卡通,http://123.10.76.58:40000/rtp/225.1.4.92:1121
金鹰纪实,http://123.10.76.58:40000/rtp/225.1.4.172:1711
新动漫,http://123.10.76.58:40000/rtp/225.1.4.212:1265
IPTV音乐现场,http://123.10.76.58:40000/rtp/225.1.4.184:1224
IPTV爱生活,http://123.10.76.58:40000/rtp/225.1.4.176:1225
IPTV好学生,http://123.10.76.58:40000/rtp/225.1.4.177:1226
IPTV国学,http://123.10.76.58:40000/rtp/225.1.4.178:1227
IPTV早教,http://123.10.76.58:40000/rtp/225.1.4.179:1228
IPTV高网,http://123.10.76.58:40000/rtp/225.1.4.180:1229
IPTV军事,http://123.10.76.58:40000/rtp/225.1.4.181:1230
IPTV美妆,http://123.10.76.58:40000/rtp/225.1.4.182:1231
IPTV地理,http://123.10.76.58:40000/rtp/225.1.4.183:1232
IPTV经典电影,http://123.10.76.58:40000/rtp/225.1.4.175:1233
IPTV精选,http://123.10.76.58:40000/rtp/225.1.4.253:1299
IPTV足球,http://123.10.76.58:40000/rtp/225.1.4.200:1250
IPTV谍战剧场,http://123.10.76.58:40000/rtp/225.1.4.185:1240
IPTV相声小品,http://123.10.76.58:40000/rtp/225.1.4.186:1235
IPTV野外,http://123.10.76.58:40000/rtp/225.1.4.187:1236
IPTV法治,http://123.10.76.58:40000/rtp/225.1.4.188:1237
IPTV少儿动画,http://123.10.76.58:40000/rtp/225.1.4.189:1238
IPTV热播剧场,http://123.10.76.58:40000/rtp/225.1.4.190:1239
IPTV魅力时尚,http://123.10.76.58:40000/rtp/225.1.4.205:1253
IPTV爱综艺,http://123.10.76.58:40000/rtp/225.1.4.204:1252
IPTV爱体育,http://123.10.76.58:40000/rtp/225.1.4.5:1034
IPTV爱电影,http://123.10.76.58:40000/rtp/225.1.4.6:1035
IPTV爱大剧,http://123.10.76.58:40000/rtp/225.1.4.8:1037
IPTV收视指南,http://123.10.76.58:40000/rtp/225.1.4.50:1079
河南联通-组播2,#genre#
CCTV-1 综合,http://123.10.78.181:40000/rtp/225.1.4.73:1102
CCTV-1 综合,http://123.10.78.181:40000/rtp/225.1.4.244:1290
CCTV-2 财经,http://123.10.78.181:40000/rtp/225.1.4.74:1103
CCTV-3 综艺,http://123.10.78.181:40000/rtp/225.1.4.158:1194
CCTV-4 中文国际,http://123.10.78.181:40000/rtp/225.1.5.30:1333
CCTV-4 欧洲,http://123.10.78.181:40000/rtp/225.1.5.31:1342
CCTV-4 美洲,http://123.10.78.181:40000/rtp/225.1.5.32:1343
CCTV-5 体育,http://123.10.78.181:40000/rtp/225.1.4.159:1195
CCTV-5+ 体育赛事,http://123.10.78.181:40000/rtp/225.1.4.75:1104
CCTV-6 电影,http://123.10.78.181:40000/rtp/225.1.4.160:1196
CCTV-7 国防军事,http://123.10.78.181:40000/rtp/225.1.4.76:1105
CCTV-8 电视剧,http://123.10.78.181:40000/rtp/225.1.4.161:1197
CCTV-9 纪录,http://123.10.78.181:40000/rtp/225.1.4.77:1106
CCTV-10 科教,http://123.10.78.181:40000/rtp/225.1.4.78:1107
CCTV-11 戏曲,http://123.10.78.181:40000/rtp/225.1.4.215:1268
CCTV-12 社会与法,http://123.10.78.181:40000/rtp/225.1.4.79:1108
CCTV-13 新闻,http://123.10.78.181:40000/rtp/225.1.4.113:1293
CCTV-14 少儿,http://123.10.78.181:40000/rtp/225.1.4.80:1109
CCTV-15 音乐,http://123.10.78.181:40000/rtp/225.1.4.216:1269
CCTV-16 奥林匹克,http://123.10.78.181:40000/rtp/225.1.5.46:1356
CCTV-17 农业农村,http://123.10.78.181:40000/rtp/225.1.4.226:2506
CCTV-1 综合,http://123.10.78.181:40000/rtp/225.1.4.1:1030
CCTV-2 财经,http://123.10.78.181:40000/rtp/225.1.4.2:1031
CCTV-4 中文国际,http://123.10.78.181:40000/rtp/225.1.4.4:1033
CCTV-7 国防军事,http://123.10.78.181:40000/rtp/225.1.4.7:1036
CCTV-9 纪录,http://123.10.78.181:40000/rtp/225.1.4.9:1038
CCTV-10 科教,http://123.10.78.181:40000/rtp/225.1.4.10:1039
CCTV-11 戏曲,http://123.10.78.181:40000/rtp/225.1.4.11:1040
CCTV-12 社会与法,http://123.10.78.181:40000/rtp/225.1.4.12:1041
CCTV-13 新闻,http://123.10.78.181:40000/rtp/225.1.4.13:1042
CCTV-14 少儿,http://123.10.78.181:40000/rtp/225.1.4.14:1043
CCTV-15 音乐,http://123.10.78.181:40000/rtp/225.1.4.15:1044
CCTV-17 农业农村,http://123.10.78.181:40000/rtp/225.1.4.227:2507
CGTN,http://123.10.78.181:40000/rtp/225.1.4.16:1045
CGTN,http://123.10.78.181:40000/rtp/225.1.5.34:1344
CGTN纪录,http://123.10.78.181:40000/rtp/225.1.5.35:1345
CGTN西语,http://123.10.78.181:40000/rtp/225.1.5.36:1346
CGTN法语,http://123.10.78.181:40000/rtp/225.1.5.37:1347
CGTN阿语,http://123.10.78.181:40000/rtp/225.1.5.38:1348
CGTN俄语,http://123.10.78.181:40000/rtp/225.1.5.39:1349
CHC家庭影院,http://123.10.78.181:40000/rtp/225.1.4.209:1262
CHC动作电影,http://123.10.78.181:40000/rtp/225.1.4.208:1261
CHC影迷电影,http://123.10.78.181:40000/rtp/225.1.4.207:1260
CETV1,http://123.10.78.181:40000/rtp/225.1.4.173:1712
CETV2,http://123.10.78.181:40000/rtp/225.1.4.165:1206
CETV4,http://123.10.78.181:40000/rtp/225.1.4.171:1710
北京卫视4K,http://123.10.78.181:40000/rtp/225.1.5.67:1377
北京卫视4K,http://123.10.78.181:40000/rtp/225.1.5.45:1355
东方卫视4K,http://123.10.78.181:40000/rtp/225.1.5.70:1380
浙江卫视4K,http://123.10.78.181:40000/rtp/225.1.5.72:1382
江苏卫视4K,http://123.10.78.181:40000/rtp/225.1.5.71:1381
湖南卫视4K,http://123.10.78.181:40000/rtp/225.1.5.76:1386
广东卫视4K,http://123.10.78.181:40000/rtp/225.1.5.69:1379
深圳卫视4K,http://123.10.78.181:40000/rtp/225.1.5.68:1378
山东卫视4K,http://123.10.78.181:40000/rtp/225.1.5.73:1383
四川卫视4K,http://123.10.78.181:40000/rtp/225.1.5.75:1385
河南4K试验,http://123.10.78.181:40000/rtp/225.1.4.254:1300
河南4K试验,http://123.10.78.181:40000/rtp/225.1.4.254:1300
爱上4k,http://123.10.78.181:40000/rtp/225.1.4.162:1204
湖南卫视,http://123.10.78.181:40000/rtp/225.1.4.82:1111
江苏卫视,http://123.10.78.181:40000/rtp/225.1.4.83:1112
浙江卫视,http://123.10.78.181:40000/rtp/225.1.4.84:1113
