湖南电信-组播1,#genre#
北京卫视4K,http://113.221.59.169:4000/rtp/239.76.253.150:9000$2160p
山东卫视4K,http://113.221.59.169:4000/rtp/239.76.254.228:9000
山东卫视4K,http://113.221.59.169:4000/rtp/239.76.254.230:9000
四川卫视4K,http://113.221.59.169:4000/rtp/239.76.254.232:9000
四川卫视4K,http://113.221.59.169:4000/rtp/239.76.254.234:9000
广东卫视4K,http://113.221.59.169:4000/rtp/239.76.246.214:1234$2160p
北京卫视4K,http://113.221.59.169:4000/rtp/239.76.253.246:9000$2160p
广东卫视4K,http://113.221.59.169:4000/rtp/239.76.254.138:9000
江苏卫视4K,http://113.221.59.169:4000/rtp/239.76.254.216:9000
江苏卫视4K,http://113.221.59.169:4000/rtp/239.76.254.218:9000
东方卫视4K,http://113.221.59.169:4000/rtp/239.76.254.224:9000
浙江卫视4K,http://113.221.59.169:4000/rtp/239.76.254.220:9000
浙江卫视4K,http://113.221.59.169:4000/rtp/239.76.254.222:9000
深圳卫视4K,http://113.221.59.169:4000/rtp/239.76.254.137:9000
湖南卫视4K,http://113.221.59.169:4000/rtp/239.76.246.100:1234$2160p
湖南卫视4K,http://113.221.59.169:4000/rtp/239.76.246.63:1234$2160p
湖南卫视4K,http://113.221.59.169:4000/rtp/239.76.253.100:9000$2160p
湖南卫视4K,http://113.221.59.169:4000/rtp/239.76.253.214:9000$2160p
湖南卫视4K,http://113.221.59.169:4000/rtp/239.76.253.224:9000$2160p
湖南卫视4K,http://113.221.59.169:4000/rtp/239.76.253.62:9000$2160p
湖南卫视4K,http://113.221.59.169:4000/rtp/239.76.254.136:9000
三沙卫视,http://113.221.59.169:4000/rtp/239.76.246.74:1234$1080p
三沙卫视,http://113.221.59.169:4000/rtp/239.76.253.74:9000$1080p
东南卫视,http://113.221.59.169:4000/rtp/239.76.245.190:1234$1080p
东南卫视,http://113.221.59.169:4000/rtp/239.76.252.190:9000$1080p
东安综合,http://113.221.59.169:4000/rtp/239.76.246.68:1234$1080p
东方卫视,http://113.221.59.169:4000/rtp/239.76.246.186:1234$1080p
东方卫视,http://113.221.59.169:4000/rtp/239.76.252.86:9000$576p
东方卫视,http://113.221.59.169:4000/rtp/239.76.253.186:9000$1080p
云南卫视,http://113.221.59.169:4000/rtp/239.76.252.98:9000$576p
云南卫视,http://113.221.59.169:4000/rtp/239.76.254.60:9000
兵团卫视,http://113.221.59.169:4000/rtp/239.76.245.232:1234$1080p
兵团卫视,http://113.221.59.169:4000/rtp/239.76.252.232:9000$1080p
内蒙古卫视,http://113.221.59.169:4000/rtp/239.76.245.106:1234$1080p
内蒙古卫视,http://113.221.59.169:4000/rtp/239.76.252.106:9000$1080p
北京卫视,http://113.221.59.169:4000/rtp/239.76.246.184:1234$1080p
北京卫视,http://113.221.59.169:4000/rtp/239.76.252.84:9000$576p
北京卫视,http://113.221.59.169:4000/rtp/239.76.253.184:9000$1080p
厦门卫视,http://113.221.59.169:4000/rtp/239.76.245.231:1234$576p
厦门卫视,http://113.221.59.169:4000/rtp/239.76.252.231:9000$576p
吉林卫视,http://113.221.59.169:4000/rtp/239.76.246.201:1234$1080p
吉林卫视,http://113.221.59.169:4000/rtp/239.76.252.103:9000$576p
四川卫视,http://113.221.59.169:4000/rtp/239.76.246.91:1234$1080p
四川卫视,http://113.221.59.169:4000/rtp/239.76.252.96:9000$576p
四川卫视,http://113.221.59.169:4000/rtp/239.76.253.91:9000$1080p
天津卫视,http://113.221.59.169:4000/rtp/239.76.246.185:1234$1080p
天津卫视,http://113.221.59.169:4000/rtp/239.76.252.85:9000$576p
天津卫视,http://113.221.59.169:4000/rtp/239.76.253.185:9000$1080p
宁夏卫视,http://113.221.59.169:4000/rtp/239.76.245.107:1234$1080p
宁夏卫视,http://113.221.59.169:4000/rtp/239.76.252.107:9000$1080p
安徽卫视,http://113.221.59.169:4000/rtp/239.76.245.196:1234$1080p
安徽卫视,http://113.221.59.169:4000/rtp/239.76.252.196:9000$1080p
安徽卫视,http://113.221.59.169:4000/rtp/239.76.252.83:9000$576p
山东卫视,http://113.221.59.169:4000/rtp/239.76.246.195:1234$1080p
山东卫视,http://113.221.59.169:4000/rtp/239.76.252.95:9000$576p
山东卫视,http://113.221.59.169:4000/rtp/239.76.253.195:9000$1080p
山西卫视,http://113.221.59.169:4000/rtp/239.76.245.105:1234$1080p
山西卫视,http://113.221.59.169:4000/rtp/239.76.252.105:9000$1080p
广东卫视,http://113.221.59.169:4000/rtp/239.76.245.189:1234$1080p
广东卫视,http://113.221.59.169:4000/rtp/239.76.252.189:9000$1080p
