河北电信-组播1,#genre#
大厂综合,http://106.112.254.144:8989/rtp/239.254.201.71:5310
大城综合,http://106.112.254.144:8989/rtp/239.254.201.34:5308
孟村综合,http://106.112.254.144:8989/rtp/239.254.201.38:5329
宁晋综合,http://106.112.254.144:8989/rtp/239.254.201.51:5375
安平综合,http://106.112.254.144:8989/rtp/239.254.201.42:5348
安新综合,http://106.112.254.144:8989/rtp/239.254.201.99:6255
定兴综合,http://106.112.254.144:8989/rtp/239.254.200.172:5246
定州新闻综合,http://106.112.254.144:8989/rtp/239.254.201.74:6251
容城综合,http://106.112.254.144:8989/rtp/239.254.201.102:6256
崇礼综合,http://106.112.254.144:8989/rtp/239.254.201.117:5267
平乡综合,http://106.112.254.144:8989/rtp/239.254.201.53:5378
平泉综合,http://106.112.254.144:8989/rtp/239.254.200.177:5286
广宗综合,http://106.112.254.144:8989/rtp/239.254.201.50:5373
广平综合,http://106.112.254.144:8989/rtp/239.254.201.70:5220
廊坊新闻综合,http://106.112.254.144:8989/rtp/239.254.200.183:6000
廊坊生活,http://106.112.254.144:8989/rtp/239.254.200.184:6000
张家口新闻综合,http://106.112.254.144:8989/rtp/239.254.200.35:6000
徐水综合,http://106.112.254.144:8989/rtp/239.254.201.147:6260
成安综合,http://106.112.254.144:8989/rtp/239.254.201.143:6210
承德新闻综合,http://106.112.254.144:8989/rtp/239.254.200.32:6000
承德旅游文化,http://106.112.254.144:8989/rtp/239.254.200.33:6000
抚宁综合,http://106.112.254.144:8989/rtp/239.254.201.213:5232
故城综合,http://106.112.254.144:8989/rtp/239.254.201.126:5362
文安综合,http://106.112.254.144:8989/rtp/239.254.201.103:5314
无极综合,http://106.112.254.144:8989/rtp/239.254.200.220:5167
昌黎综合,http://106.112.254.144:8989/rtp/239.254.201.61:5230
晋州综合,http://106.112.254.144:8989/rtp/239.254.201.127:5184
景县综合,http://106.112.254.144:8989/rtp/239.254.200.240:5350
曲周综合,http://106.112.254.144:8989/rtp/239.254.200.236:5210
曲阳综合,http://106.112.254.144:8989/rtp/239.254.200.242:5265
