宁夏电信-组播1,#genre#
东方财经,http://111.113.150.188:9999/rtp/239.121.4.71:8400
东方财经,http://111.113.150.188:9999/rtp/239.121.5.54:5140
动漫秀场,http://111.113.150.188:9999/rtp/239.121.4.74:8418
动漫秀场,http://111.113.150.188:9999/rtp/239.121.5.74:5140
哈哈炫动,http://111.113.150.188:9999/rtp/239.121.4.51:8280
哈哈炫动,http://111.113.150.188:9999/rtp/239.121.5.51:5140
嘉佳卡通,http://111.113.150.188:9999/rtp/239.121.4.79:8448
嘉佳卡通,http://111.113.150.188:9999/rtp/239.121.5.26:9268
多彩文体,http://111.113.150.188:9999/rtp/239.121.4.64:8358
多彩文体,http://111.113.150.188:9999/rtp/239.121.5.251:5140
家有购物,http://111.113.150.188:9999/rtp/239.121.5.158:5520
导视,http://111.113.150.188:9999/rtp/239.121.4.89:8508
导视,http://111.113.150.188:9999/rtp/239.121.5.89:5140
法治天地,http://111.113.150.188:9999/rtp/239.121.4.70:8394
法治天地,http://111.113.150.188:9999/rtp/239.121.5.70:5140
游戏风云,http://111.113.150.188:9999/rtp/239.121.4.75:8424
游戏风云,http://111.113.150.188:9999/rtp/239.121.5.75:5140
生活时尚,http://111.113.150.188:9999/rtp/239.121.4.68:8382
生活时尚,http://111.113.150.188:9999/rtp/239.121.5.68:5140
都市剧场,http://111.113.150.188:9999/rtp/239.121.4.62:8346
都市剧场,http://111.113.150.188:9999/rtp/239.121.5.62:5140
金色学堂,http://111.113.150.188:9999/rtp/239.121.4.78:8442
金色学堂,http://111.113.150.188:9999/rtp/239.121.5.78:5140
金鹰卡通,http://111.113.150.188:9999/rtp/239.121.4.52:8286
金鹰卡通,http://111.113.150.188:9999/rtp/239.121.5.33:9252
金鹰纪实,http://111.113.150.188:9999/rtp/239.121.4.167:8986
金鹰纪实,http://111.113.150.188:9999/rtp/239.121.5.126:8156
财富天下,http://111.113.150.188:9999/rtp/239.121.4.181:9070
